subject,Model_Accuracy,Teacher_Accuracy,Model_Off_One,Model_Off_2+,Teacher_Off_One,Teacher_Off_2+
art,0.6666666666666666,0.7272727272727273,[9],[0],[7],[0]
biology,0.7708333333333334,0.7916666666666666,[9],[1],[8],[1]
business_studies,0.2777777777777778,0.5555555555555556,[23],[1],[7],[2]
chemistry,0.7368421052631579,0.7368421052631579,[11],[1],[11],[1]
computer_science,0.2857142857142857,0.5238095238095238,[12],[0],[5],[2]
drama,0.14285714285714285,0.39285714285714285,[19],[0],[8],[2]
english_language,0.704225352112676,0.6971830985915493,[32],[0],[34],[0]
english_literature,0.6959459459459459,0.6891891891891891,[39],[0],[41],[0]
french_language,0.9354838709677419,0.8924731182795699,[5],[1],[7],[1]
geography,0.38181818181818183,0.5454545454545454,[27],[1],[15],[3]
german,0.5,0.75,[5],[0],[3],[0]
history,0.4,0.5866666666666667,[32],[6],[18],[9]
ict_btec,0.9069767441860465,0.9069767441860465,[5],[1],[6],[1]
maths,0.6993006993006993,0.7342657342657343,[38],[1],[31],[1]
music_studies,0.95,0.95,[4],[0],[4],[0]
music_tech_grade,0.9506172839506173,0.9506172839506173,[4],[0],[0],[0]
pearson_btec_sport,0.8888888888888888,0.8888888888888888,[1],[0],[1],[0]
physics,0.5263157894736842,0.6666666666666666,[26],[0],[17],[0]
science_double,0.808,0.84,[23],[0],[19],[0]
spanish,0.3333333333333333,0.5,[15],[2],[9],[4]
