subject,Model_Accuracy,Teacher_Accuracy,Model_Off_One,Model_Off_2+,Teacher_Off_One,Teacher_Off_2+
art_&_design,0.6666666666666666,0.6904761904761905,[12],[0],[12],[0]
biology,0.5348837209302325,0.5116279069767442,[16],[0],[16],[2]
business_studies,0.35294117647058826,0.4117647058823529,[16],[0],[9],[3]
chemistry,0.46153846153846156,0.4230769230769231,[22],[1],[24],[1]
computer_science,0.36363636363636365,0.18181818181818182,[8],[0],[10],[5]
drama,0.3611111111111111,0.16666666666666666,[16],[2],[21],[2]
english_language,0.3586206896551724,0.36551724137931035,[75],[4],[67],[4]
english_literature,0.3825503355704698,0.3422818791946309,[61],[4],[68],[5]
food_technology,0.27586206896551724,0.3448275862068966,[16],[0],[15],[0]
french_language,0.46875,0.3125,[12],[2],[17],[0]
geography,0.3387096774193548,0.2903225806451613,[24],[2],[26],[4]
german,0.2727272727272727,0.18181818181818182,[2],[1],[8],[0]
history,0.31645569620253167,0.3037974683544304,[42],[2],[36],[8]
ict_btec,0.21052631578947367,0.15789473684210525,[7],[1],[2],[2]
maths,0.5620915032679739,0.5098039215686274,[61],[0],[65],[0]
music_studies,0.3,0.4,[5],[0],[5],[1]
music_tech_grade,0.4166666666666667,0.6666666666666666,[5],[1],[0],[0]
pearson_btec_sport,0.8205128205128205,0.8205128205128205,[2],[0],[2],[0]
physics,0.4423076923076923,0.36538461538461536,[25],[1],[30],[1]
science_double,0.42424242424242425,0.43434343434343436,[50],[2],[48],[1]
spanish,0.27906976744186046,0.16279069767441862,[23],[1],[25],[3]
