subject,Model_Accuracy,Teacher_Accuracy,Model_Off_One,Model_Off_2+,Teacher_Off_One,Teacher_Off_2+
art_&_design,0.7142857142857143,0.6904761904761905,10,0,[12],[0]
biology,0.4883720930232558,0.5116279069767442,18,1,[16],[2]
business_studies,0.35294117647058826,0.4117647058823529,18,0,[9],[3]
chemistry,0.3076923076923077,0.4230769230769231,27,1,[24],[1]
computer_science,0.3181818181818182,0.18181818181818182,9,2,[10],[5]
drama,0.3055555555555556,0.16666666666666666,14,3,[21],[2]
english_language,0.33793103448275863,0.36551724137931035,66,4,[67],[4]
english_literature,0.3825503355704698,0.3422818791946309,59,7,[68],[5]
food_technology,0.2413793103448276,0.3448275862068966,17,1,[15],[0]
french_language,0.40625,0.3125,13,3,[17],[0]
geography,0.3064516129032258,0.2903225806451613,24,3,[26],[4]
german,0.36363636363636365,0.18181818181818182,6,0,[8],[0]
history,0.27848101265822783,0.3037974683544304,40,1,[36],[8]
ict_btec,0.21052631578947367,0.15789473684210525,10,1,[2],[2]
maths,0.49019607843137253,0.5098039215686274,71,0,[65],[0]
music_studies,0.2,0.4,5,1,[5],[1]
music_tech_grade,0.9166666666666666,0.6666666666666666,0,1,[0],[0]
pearson_btec_sport,0.717948717948718,0.8205128205128205,6,0,[2],[0]
physics,0.40384615384615385,0.36538461538461536,25,1,[30],[1]
science_double,0.46464646464646464,0.43434343434343436,44,1,[48],[1]
spanish,0.20930232558139536,0.16279069767441862,21,1,[25],[3]
