subject,Model_Accuracy,Teacher_Accuracy,Model_Off_One,Model_Off_2+,Teacher_Off_One,Teacher_Off_2+
art_&_design,0.6904761904761905,0.6904761904761905,[11],[0],[12],[0]
biology,0.5348837209302325,0.5116279069767442,[16],[0],[16],[2]
business_studies,0.2647058823529412,0.4117647058823529,[21],[0],[9],[3]
chemistry,0.38461538461538464,0.4230769230769231,[26],[0],[24],[1]
computer_science,0.4090909090909091,0.18181818181818182,[7],[0],[10],[5]
drama,0.4444444444444444,0.16666666666666666,[12],[2],[21],[2]
english_language,0.35172413793103446,0.36551724137931035,[78],[3],[67],[4]
english_literature,0.3624161073825503,0.3422818791946309,[61],[4],[68],[5]
food_technology,0.3103448275862069,0.3448275862068966,[16],[1],[15],[0]
french_language,0.46875,0.3125,[13],[2],[17],[0]
geography,0.3387096774193548,0.2903225806451613,[28],[2],[26],[4]
german,0.2727272727272727,0.18181818181818182,[7],[0],[8],[0]
history,0.3037974683544304,0.3037974683544304,[42],[2],[36],[8]
ict_btec,0.10526315789473684,0.15789473684210525,[10],[1],[2],[2]
maths,0.5424836601307189,0.5098039215686274,[65],[0],[65],[0]
music_studies,0.3,0.4,[6],[1],[5],[1]
music_tech_grade,0.5,0.6666666666666666,[5],[0],[0],[0]
pearson_btec_sport,0.8205128205128205,0.8205128205128205,[2],[0],[2],[0]
physics,0.5,0.36538461538461536,[21],[1],[30],[1]
science_double,0.46464646464646464,0.43434343434343436,[47],[1],[48],[1]
spanish,0.18604651162790697,0.16279069767441862,[23],[1],[25],[3]
