subject,Model_Accuracy,Teacher_Accuracy,Model_Off_One,Model_Off_2+,Teacher_Off_One,Teacher_Off_2+
art_&_design,0.6428571428571429,0.6428571428571429,[5],[0],[5],[0]
biology,0.3684210526315789,0.47368421052631576,[11],[0],[9],[0]
business_studies,0.5,0.6666666666666666,[1],[0],[0],[0]
chemistry,0.47368421052631576,0.3157894736842105,[7],[0],[12],[0]
computer_science,0.625,0.25,[3],[0],[5],[0]
drama,0.5,0.5,[5],[0],[5],[0]
english_language,0.3018867924528302,0.3584905660377358,[26],[3],[22],[3]
english_literature,0.40384615384615385,0.38461538461538464,[17],[2],[22],[2]
food_technology,0.2727272727272727,0.36363636363636365,[6],[0],[6],[0]
french_language,0.5,0.2,[3],[0],[6],[0]
geography,0.2857142857142857,0.23809523809523808,[13],[0],[10],[1]
german,0.6,0.2,[1],[1],[3],[1]
history,0.3076923076923077,0.15384615384615385,[12],[1],[14],[3]
ict_btec,0.3333333333333333,0.3333333333333333,[2],[0],[0],[0]
maths,0.4807692307692308,0.4807692307692308,[26],[0],[26],[0]
music_studies,0.5,0.75,[1],[0],[1],[0]
music_tech_grade,0.4,0.4,[0],[1],[0],[1]
pearson_btec_sport,0.7692307692307693,0.8461538461538461,[1],[0],[0],[0]
physics,0.5789473684210527,0.47368421052631576,[5],[1],[7],[2]
science_double,0.45454545454545453,0.45454545454545453,[13],[0],[12],[0]
spanish,0.25,0.25,[9],[1],[7],[2]
