subject,Model_Accuracy,Teacher_Accuracy,Model_Off_One,Model_Off_2+,Teacher_Off_One,Teacher_Off_2+
art_&_design,0.35714285714285715,0.6428571428571429,[9],[0],[5],[0]
biology,0.3157894736842105,0.47368421052631576,[13],[0],[9],[0]
business_studies,0.0,0.6666666666666666,[4],[0],[0],[0]
chemistry,0.5789473684210527,0.3157894736842105,[6],[0],[12],[0]
computer_science,0.375,0.25,[3],[1],[5],[0]
drama,0.5,0.5,[3],[1],[5],[0]
english_language,0.2641509433962264,0.3584905660377358,[26],[3],[22],[3]
english_literature,0.3269230769230769,0.38461538461538464,[25],[2],[22],[2]
food_technology,0.36363636363636365,0.36363636363636365,[6],[0],[6],[0]
french_language,0.7,0.2,[1],[1],[6],[0]
geography,0.38095238095238093,0.23809523809523808,[9],[1],[10],[1]
german,0.4,0.2,[3],[0],[3],[1]
history,0.34615384615384615,0.15384615384615385,[9],[1],[14],[3]
ict_btec,0.16666666666666666,0.3333333333333333,[2],[2],[0],[0]
maths,0.5,0.4807692307692308,[23],[0],[26],[0]
music_studies,0.0,0.75,[2],[1],[1],[0]
music_tech_grade,0.6,0.4,[0],[1],[0],[1]
pearson_btec_sport,0.46153846153846156,0.8461538461538461,[5],[1],[0],[0]
physics,0.5263157894736842,0.47368421052631576,[5],[2],[7],[2]
science_double,0.5757575757575758,0.45454545454545453,[9],[0],[12],[0]
spanish,0.3125,0.25,[8],[1],[7],[2]
