subject,MSE,RMSE,R2,Cross-validation,Mean cross validation,Mean Absolute Error,Mean cross-validation
art_&_design,0.452,0.673,0.857,[0.74185965 0.86019492 0.86937308 0.87965008 0.91104587],,0.357,0.852
biology,0.674,0.821,0.801,[0.66826465 0.68218786 0.6946947  0.73928683 0.82431585],,0.535,0.722
business_studies,1.088,1.043,0.733,[0.59683895 0.64254719 0.69854801 0.71394652 0.75718453],,0.853,0.682
chemistry,1.086,1.042,0.651,[0.71301381 0.72108628 0.74673809 0.81511222 0.83298965],,0.800,0.766
computer_science,1.400,1.183,0.828,[0.35541497 0.60153134 0.80182586 0.88981957 0.89321986],,0.867,0.708
drama,1.500,1.225,0.624,[0.6629018  0.70050735 0.80695812 0.80763117 0.83923403],,0.917,0.763
english_language,1.155,1.075,0.622,[0.64086693 0.67865258 0.70921721 0.77815837 0.7888362 ],,0.804,0.719
english_literature,1.460,1.208,0.698,[0.67070309 0.72486571 0.73051219 0.74088253 0.77915108],,0.880,0.729
food_technology,1.050,1.025,0.776,[0.62211977 0.6512344  0.70044657 0.78033259 0.79510471],,0.750,0.710
french_language,1.409,1.187,0.707,[0.69044261 0.77904627 0.84223643 0.84960752 0.86043902],,0.864,0.804
geography,1.829,1.353,0.670,[0.59022925 0.71541203 0.75789181 0.80814301 0.8462204 ],,0.854,0.744
german,1.000,1.000,0.765,[0.40207333 0.58915514 0.59903295 0.64516429 0.79542689],,0.750,0.606
history,1.453,1.205,0.718,[0.68041102 0.7324325  0.75969089 0.80237927 0.81134345],,0.887,0.757
ict_btec,2.385,1.544,0.054,[-0.3952474   0.02963145  0.12622993  0.34221177  0.35462569],,1.308,0.091
maths,0.539,0.734,0.891,[0.87540798 0.88548068 0.88707726 0.89678868 0.89834029],,0.461,0.889
music_studies,3.000,1.732,0.443,[-0.68705456  0.1471579   0.56560735  0.81780637  0.88804428],,1.286,0.346
music_tech_grade,0.625,0.791,0.904,[0.55245657 0.62595496 0.78348446 0.85981918 0.87787026],,0.625,0.740
pearson_btec_sport,0.538,0.734,0.922,[0.85724894 0.87317098 0.88478006 0.93131088 0.97441567],,0.308,0.904
physics,0.743,0.862,0.706,[0.57543409 0.71590463 0.73638487 0.74120692 0.7680138 ],,0.571,0.707
science_double,1.182,1.087,0.588,[0.63636041 0.79029785 0.80168357 0.83464033 0.85857597],,0.636,0.784
spanish,2.345,1.531,0.527,[0.66143809 0.71045111 0.75842479 0.79626921 0.84293846],,1.241,0.754
