,FFT20,PP,Year 10 Combined MOCK GRADE,Combined MOCK GRADE term 2,Combined MOCK GRADE Term 4,SEN bool
1,3-,True,0.0,0.0,0.0,True
2,3+,False,2.5,3.0,3.0,True
4,4+,True,0.0,0.0,0.0,True
5,3-,True,1.5,1.5,1.5,True
6,3,True,1.5,1.5,1.5,True
8,3-,False,2.5,0.0,0.0,True
9,2+,False,3.0,1.5,1.5,True
10,3,True,1.0,1.5,1.5,True
11,3+,False,0.0,0.0,0.0,True
12,2+,False,1.5,1.5,1.5,True
13,5,False,4.0,4.5,4.5,False
14,4+,False,3.5,3.5,3.5,True
16,3,False,2.5,2.5,2.5,False
17,5-,True,8.5,6.5,6.5,True
18,4-,False,1.0,1.0,1.0,False
21,4,False,4.0,5.0,5.0,True
22,4,False,5.0,5.5,5.5,False
23,4-,False,0.0,0.0,0.0,True
24,4-,False,4.5,3.5,3.5,True
25,4+,False,4.5,6.5,6.5,False
27,3,True,3.0,1.5,1.5,False
28,5+,False,2.5,2.0,2.0,True
31,4,False,0.0,2.5,2.5,True
32,6,False,4.0,5.0,5.0,False
34,4,False,3.5,5.0,5.0,False
35,5+,False,5.0,5.5,5.5,False
39,7-,False,8.5,9.0,9.0,False
40,3,False,3.0,3.5,3.5,False
42,4-,False,3.5,4.0,4.0,False
43,5+,False,6.5,7.5,7.5,True
44,4+,False,5.0,6.5,6.5,True
45,5,False,2.5,3.0,3.0,False
46,4+,False,4.0,4.0,4.0,False
47,3,True,0.0,0.0,0.0,True
48,3,False,2.5,1.5,1.5,True
49,4-,True,4.0,0.0,0.0,False
50,5+,True,0.0,0.0,0.0,False
51,5+,False,4.0,4.0,4.0,False
53,3,True,3.0,2.0,2.0,False
54,6+,False,7.0,8.5,8.5,False
56,4,False,3.5,3.5,3.5,False
57,3-,True,1.0,1.0,1.0,True
58,3,True,3.0,1.0,1.0,True
59,4-,False,1.0,3.0,3.0,True
62,6-,False,4.5,3.5,3.5,False
63,4+,False,4.0,3.5,3.5,False
64,4,False,3.0,2.5,2.5,True
65,7,False,7.0,8.5,8.5,False
66,3+,False,3.0,2.0,2.0,True
67,5-,False,4.5,7.0,7.0,False
68,5-,False,5.5,6.0,6.0,False
69,5-,False,2.5,2.5,2.5,True
70,5+,False,6.0,0.0,0.0,False
72,5,False,6.5,7.0,7.0,False
73,7-,False,5.0,7.0,7.0,False
74,7,False,7.5,8.0,8.0,False
75,6-,False,5.0,5.5,5.5,False
76,5-,False,8.0,5.0,5.0,False
77,4,False,3.0,3.5,3.5,False
78,5+,False,3.5,0.0,0.0,True
80,4-,False,3.5,2.5,2.5,True
81,4+,False,3.5,3.0,3.0,False
82,8,False,8.0,7.5,7.5,False
83,4-,False,2.0,3.5,3.5,False
85,5-,False,7.5,6.0,6.0,False
86,4,False,9.0,6.5,6.5,False
87,5-,False,2.5,2.5,2.5,False
90,4-,False,1.5,1.0,1.0,True
91,6-,False,7.0,8.5,8.5,False
92,4,True,3.0,3.0,3.0,False
93,3+,False,2.5,2.5,2.5,True
94,4+,False,4.5,6.0,6.0,True
95,3-,True,2.5,2.0,2.0,False
96,3,True,3.5,6.0,6.0,True
97,6,False,0.0,0.0,0.0,False
98,6,False,6.0,7.0,7.0,False
99,4,True,3.0,2.0,2.0,False
100,4-,True,2.0,3.0,3.0,True
101,4-,False,4.5,0.0,0.0,False
103,6-,True,3.0,2.5,2.5,True
104,6-,False,3.5,7.0,7.0,False
105,5,True,3.5,3.0,3.0,False
106,4,True,2.5,1.5,1.5,False
108,5,False,4.5,4.0,4.0,False
109,4,False,0.0,3.0,3.0,True
110,6-,False,6.0,6.0,6.0,False
111,5-,True,2.0,1.5,1.5,False
113,3,False,1.0,1.0,1.0,False
114,4+,False,0.0,0.0,0.0,True
115,3,False,2.0,2.0,2.0,True
116,4,False,5.0,4.5,4.5,True
117,4-,True,3.5,3.0,3.0,True
118,3,True,1.0,1.5,1.5,True
119,5,True,5.0,4.0,4.0,False
120,3,False,3.5,3.5,3.5,True
121,5-,False,3.5,3.0,3.0,False
122,5,False,3.0,3.0,3.0,False
123,7-,False,4.0,4.0,4.0,False
124,5-,False,4.5,4.0,4.0,False
125,4,False,3.0,4.0,4.0,False
126,5+,False,5.0,5.5,5.5,False
127,6-,False,4.0,3.5,3.5,False
128,6-,True,2.5,0.0,0.0,False
129,4,False,4.0,3.0,3.0,True
130,5+,True,0.0,0.0,0.0,True
131,6,False,4.0,4.5,4.5,False
133,4,True,3.0,2.0,2.0,True
135,4,False,3.0,3.0,3.0,False
136,3-,True,2.0,1.5,1.5,False
137,5,True,4.5,5.0,5.0,False
139,4+,False,5.0,6.5,6.5,False
142,4,True,3.5,4.5,4.5,False
145,5-,True,2.5,2.0,2.0,True
146,5,False,4.5,4.5,4.5,False
147,4+,False,5.5,6.0,6.0,True
148,8-,False,8.5,9.0,9.0,False
149,5-,False,4.5,6.0,6.0,False
151,6+,False,4.0,5.5,5.5,True
152,5+,False,0.0,0.0,0.0,False
153,6+,False,4.0,4.5,4.5,False
154,3-,False,0.0,0.0,0.0,True
155,3+,False,2.0,2.0,2.0,True
156,5+,True,3.5,3.5,3.5,False
157,6-,False,4.0,7.0,7.0,True
158,4,False,3.5,0.0,0.0,False
159,5,False,5.0,6.0,6.0,False
160,6-,False,0.0,0.0,0.0,False
161,5-,True,4.0,4.5,4.5,True
162,5+,False,3.5,5.5,5.5,False
163,5,False,1.5,0.0,0.0,False
164,3-,False,2.0,0.0,0.0,True
165,3+,False,4.5,2.5,2.5,True
166,3-,True,3.0,3.0,3.0,True
167,3,False,1.5,1.0,1.0,True
168,6+,True,4.5,4.5,4.5,False
169,4,False,0.0,0.0,0.0,True
