,FFT20,PP,year 10 bio grade,year 10 chem grade,year 10 phys grade,year 11 paper 1 bio grade,year 11 paper 1 chem grade,year 11 paper 1 phys grade,year 11 paper 2 bio grade,year 11 paper 2 chem grade,year 11 paper 2 phys grade,SEN bool
1,5+,True,5,5,6,6,6,7,5,6,5,True
2,7+,True,8,8,8,9,9,9,9,9,8,False
3,5+,True,3,2,3,3,3,3,3,3,2,False
4,5,True,5,6,5,9,7,9,6,8,7,False
5,7+,True,5,5,6,6,8,8,5,6,5,False
6,6+,True,9,9,9,9,9,9,9,9,9,False
8,6-,True,9,9,9,9,7,9,9,9,7,False
9,6+,True,7,6,8,9,7,9,9,8,8,False
10,6-,True,9,9,9,9,9,9,9,9,9,False
13,7,True,7,7,8,9,7,8,7,7,7,False
17,7,True,5,4,4,5,5,3,3,4,3,False
18,6+,True,8,7,7,9,7,9,9,8,8,False
20,7,True,6,6,6,7,7,7,6,8,7,False
21,7-,True,7,5,6,8,7,8,6,7,6,False
22,5+,True,0,4,4,5,5,5,5,5,3,False
23,6,True,7,7,7,9,7,8,6,7,7,False
24,6,True,5,5,6,7,6,7,5,6,6,False
25,8,True,5,5,7,9,6,8,7,8,4,False
26,5+,True,5,0,0,5,5,5,6,5,0,False
27,5-,True,5,4,4,5,5,5,6,4,3,False
29,8,True,7,8,8,8,8,9,9,9,7,False
30,3,True,4,3,5,4,4,2,3,3,4,True
31,5,True,5,4,3,6,5,4,4,6,4,False
32,5-,True,5,5,4,7,4,6,5,5,5,False
33,5-,True,5,4,4,5,8,7,4,6,5,False
34,6+,True,7,8,7,8,7,7,7,7,6,False
35,6-,True,7,7,6,9,9,9,5,8,5,False
36,6-,True,4,4,5,3,3,6,5,5,3,False
37,5+,True,3,1,4,3,7,5,3,4,3,False
38,7,True,8,7,7,9,8,9,7,8,8,False
39,5,True,3,4,4,5,5,6,4,5,4,False
40,6,True,8,7,7,9,7,9,8,8,7,False
41,6+,True,7,7,7,9,7,9,6,9,6,False
42,6+,True,5,5,6,7,6,7,6,8,5,True
43,6,True,9,9,6,9,8,8,9,7,6,False
44,8,True,9,9,9,9,9,9,9,9,9,False
45,7+,True,6,7,6,9,5,7,6,8,6,False
48,6+,True,9,6,6,6,7,6,6,7,6,False
49,8-,True,9,9,9,9,9,9,9,9,9,False
51,5,True,0,2,1,5,4,5,3,4,3,False
52,5+,True,5,4,3,2,0,3,4,0,3,True
53,5,True,4,4,3,5,0,4,3,3,3,False
54,4+,True,5,5,5,7,5,5,5,6,4,False
56,5+,True,5,7,7,9,6,6,6,6,4,False
57,6+,True,7,9,8,9,9,9,9,9,9,False
58,6+,True,7,7,7,9,8,8,7,9,5,False
59,7+,True,6,7,5,9,6,6,8,7,6,False
60,4-,True,2,1,2,2,3,2,0,2,2,False
61,5+,True,4,4,6,6,6,7,6,7,6,False
62,7-,True,5,4,0,6,5,4,5,0,3,False
63,6,True,7,7,7,9,7,8,7,6,6,True
64,5+,True,4,4,4,5,5,6,6,6,4,False
65,7-,True,5,5,6,5,5,5,5,5,3,False
66,6,True,6,5,5,6,6,6,5,6,4,False
67,5,True,5,7,6,9,8,7,9,9,5,True
68,7,True,9,7,7,9,9,9,9,8,8,False
69,7-,True,7,6,6,7,7,6,6,6,5,False
70,7+,True,6,6,6,7,7,7,6,6,5,True
73,4,True,5,4,4,7,6,5,6,5,3,False
74,5,True,5,4,5,5,5,5,4,5,4,False
75,5-,True,5,4,5,5,5,4,5,0,4,True
77,5+,True,4,3,4,5,5,5,5,6,5,False
79,7+,True,5,4,6,6,6,5,5,5,4,False
80,6-,True,6,6,6,7,7,6,7,6,5,False
81,5+,True,4,0,1,4,0,0,5,3,0,False
82,8-,True,9,8,8,9,9,9,9,9,7,False
85,7+,True,9,8,7,9,9,9,9,8,6,False
87,8-,True,5,4,5,7,7,6,8,5,4,False
89,6+,True,7,9,9,9,9,9,9,9,8,False
90,5-,True,7,5,5,9,7,8,9,7,5,False
91,6-,True,8,7,6,9,9,9,9,9,6,False
