,FFT20,PP,Year 10 Combined MOCK GRADE,Combined MOCK GRADE term 2,Combined MOCK GRADE Term 4,SEN bool
0,3.0,True,1.0,1.5,1.5,True
1,3.0,True,1.5,1.5,1.5,True
2,3.0,True,3.0,3.0,3.0,True
3,4.0,True,3.5,3.0,3.0,True
4,5.0,True,4.0,4.5,4.5,True
5,6.0,True,3.0,2.5,2.5,True
6,5.0,True,8.5,6.5,6.5,True
7,3.0,True,3.0,1.0,1.0,True
8,3.0,True,1.0,1.0,1.0,True
9,4.0,True,2.0,3.0,3.0,True
10,5.0,True,2.5,2.0,2.0,True
11,4.0,True,3.0,2.0,2.0,True
12,3.0,True,1.0,1.5,1.5,True
13,3.0,True,3.5,6.0,6.0,True
14,3.0,True,1.5,1.5,1.5,True
