,FFT20,SEN need(s),PP,Year 10 Combined MOCK GRADE,Combined MOCK GRADE term 2,Combined MOCK GRADE Term 4,SEN bool
1,3-,"Moderate Learning Difficulty, Speech, Language and Communication Needs, Specific Learning Difficulty",True,U,U,U,True
2,3+,Autistic Spectrum Disorder,False,3-2,3-3,3-3,True
4,4+,Autistic Spectrum Disorder,True,U,U,U,True
5,3-,"Autistic Spectrum Disorder, Social, Emotional & Mental Health, Speech, Language and Communication Needs",True,2-1,2-1,2-1,True
6,3,Specific Learning Difficulty,True,2-1,2-1,2-1,True
8,3-,Specific Learning Difficulty,False,3-2,U,U,True
9,2+,Specific Learning Difficulty,False,3-3,2-1,2-1,True
10,3,"Social, Emotional & Mental Health",True,1-1,2-1,2-1,True
11,3+,"SEN Support, No Specialist Assessment, Moderate Learning Difficulty",False,U,U,U,True
12,2+,Moderate Learning Difficulty,False,2-1,2-1,2-1,True
13,5,n,False,4-4,5-4,5-4,False
14,4+,"Social, Emotional & Mental Health",False,4-3,4-3,4-3,True
16,3,n,False,3-2,3-2,3-2,False
17,5-,"Speech, Language and Communication Needs",True,9-8,7-6,7-6,True
18,4-,n,False,1-1,1-1,1-1,False
21,4,Moderate Learning Difficulty,False,4-4,5-5,5-5,True
22,4,n,False,5-5,6-5,6-5,False
23,4-,Moderate Learning Difficulty,False,U,U,U,True
24,4-,Moderate Learning Difficulty,False,5-4,4-3,4-3,True
25,4+,n,False,5-4,7-6,7-6,False
27,3,n,True,3-3,2-1,2-1,False
28,5+,"Speech, Language and Communication Needs",False,3-2,2-2,2-2,True
31,4,Specific Learning Difficulty,False,U,3-2,3-2,True
32,6,n,False,4-4,5-5,5-5,False
34,4,n,False,4-3,5-5,5-5,False
35,5+,n,False,5-5,6-5,6-5,False
39,7-,n,False,9-8,9-9,9-9,False
40,3,n,False,3-3,4-3,4-3,False
42,4-,n,False,4-3,4-4,4-4,False
43,5+,Moderate Learning Difficulty,False,7-6,8-7,8-7,True
44,4+,Moderate Learning Difficulty,False,5-5,7-6,7-6,True
45,5,n,False,3-2,3-3,3-3,False
46,4+,n,False,4-4,4-4,4-4,False
47,3,"Social, Emotional & Mental Health, Speech, Language and Communication Needs, Moderate Learning Difficulty",True,U,U,U,True
48,3,"Social, Emotional & Mental Health",False,3-2,2-1,2-1,True
49,4-,n,True,4-4,U,U,False
50,5+,n,True,U,U,U,False
51,5+,n,False,4-4,4-4,4-4,False
53,3,n,True,3-3,2-2,2-2,False
54,6+,n,False,7-7,9-8,9-8,False
56,4,n,False,4-3,4-3,4-3,False
57,3-,Moderate Learning Difficulty,True,1-1,1-1,1-1,True
58,3,Moderate Learning Difficulty,True,3-3,1-1,1-1,True
59,4-,"Speech, Language and Communication Needs, Moderate Learning Difficulty",False,1-1,3-3,3-3,True
62,6-,n,False,5-4,4-3,4-3,False
63,4+,n,False,4-4,4-3,4-3,False
64,4,Moderate Learning Difficulty,False,3-3,3-2,3-2,True
65,7,n,False,7-7,9-8,9-8,False
66,3+,Moderate Learning Difficulty,False,3-3,2-2,2-2,True
67,5-,n,False,5-4,7-7,7-7,False
68,5-,n,False,6-5,6-6,6-6,False
69,5-,Autistic Spectrum Disorder,False,3-2,3-2,3-2,True
70,5+,n,False,6-6,U,U,False
72,5,n,False,7-6,7-7,7-7,False
73,7-,n,False,5-5,7-7,7-7,False
74,7,n,False,8-7,8-8,8-8,False
75,6-,n,False,5-5,6-5,6-5,False
76,5-,n,False,8-8,5-5,5-5,False
77,4,n,False,3-3,4-3,4-3,False
78,5+,"Social, Emotional & Mental Health, Autistic Spectrum Disorder",False,4-3,U,U,True
80,4-,Moderate Learning Difficulty,False,4-3,3-2,3-2,True
81,4+,n,False,4-3,3-3,3-3,False
82,8,n,False,8-8,8-7,8-7,False
83,4-,n,False,2-2,4-3,4-3,False
85,5-,n,False,8-7,6-6,6-6,False
86,4,n,False,9-9,7-6,7-6,False
87,5-,n,False,3-2,3-2,3-2,False
90,4-,Moderate Learning Difficulty,False,2-1,1-1,1-1,True
91,6-,n,False,7-7,9-8,9-8,False
92,4,n,True,3-3,3-3,3-3,False
93,3+,"Hearing Impairment, Social, Emotional & Mental Health",False,3-2,3-2,3-2,True
94,4+,Moderate Learning Difficulty,False,5-4,6-6,6-6,True
95,3-,n,True,3-2,2-2,2-2,False
96,3,Moderate Learning Difficulty,True,4-3,6-6,6-6,True
97,6,n,False,U,U,U,False
98,6,n,False,6-6,7-7,7-7,False
99,4,n,True,3-3,2-2,2-2,False
100,4-,"Social, Emotional & Mental Health",True,2-2,3-3,3-3,True
101,4-,n,False,5-4,U,U,False
103,6-,"Social, Emotional & Mental Health, Speech, Language and Communication Needs",True,3-3,3-2,3-2,True
104,6-,n,False,4-3,7-7,7-7,False
105,5,n,True,4-3,3-3,3-3,False
106,4,n,True,3-2,2-1,2-1,False
108,5,n,False,5-4,4-4,4-4,False
109,4,"Speech, Language and Communication Needs",False,U,3-3,3-3,True
110,6-,n,False,6-6,6-6,6-6,False
111,5-,n,True,2-2,2-1,2-1,False
113,3,n,False,1-1,1-1,1-1,False
114,4+,"Specific Learning Difficulty, Speech, Language and Communication Needs",False,U,U,U,True
115,3,"Speech, Language and Communication Needs",False,2-2,2-2,2-2,True
116,4,Moderate Learning Difficulty,False,5-5,5-4,5-4,True
117,4-,"Speech, Language and Communication Needs",True,4-3,3-3,3-3,True
118,3,"Specific Learning Difficulty, Moderate Learning Difficulty",True,1-1,2-1,2-1,True
119,5,n,True,5-5,4-4,4-4,False
120,3,Specific Learning Difficulty,False,4-3,4-3,4-3,True
121,5-,n,False,4-3,3-3,3-3,False
122,5,n,False,3-3,3-3,3-3,False
123,7-,n,False,4-4,4-4,4-4,False
124,5-,n,False,5-4,4-4,4-4,False
125,4,n,False,3-3,4-4,4-4,False
126,5+,n,False,5-5,6-5,6-5,False
127,6-,n,False,4-4,4-3,4-3,False
128,6-,n,True,3-2,U,U,False
129,4,Specific Learning Difficulty,False,4-4,3-3,3-3,True
130,5+,"Anxiety disorder, Moderate Learning Difficulty",True,U,U,U,True
131,6,n,False,4-4,5-4,5-4,False
133,4,"Social, Emotional & Mental Health",True,3-3,2-2,2-2,True
135,4,n,False,3-3,3-3,3-3,False
136,3-,n,True,2-2,2-1,2-1,False
137,5,n,True,5-4,5-5,5-5,False
139,4+,n,False,5-5,7-6,7-6,False
142,4,n,True,4-3,5-4,5-4,False
145,5-,"Speech, Language and Communication Needs",True,3-2,2-2,2-2,True
146,5,n,False,5-4,5-4,5-4,False
147,4+,Moderate Learning Difficulty,False,6-5,6-6,6-6,True
148,8-,n,False,9-8,9-9,9-9,False
149,5-,n,False,5-4,6-6,6-6,False
151,6+,"Social, Emotional & Mental Health",False,4-4,6-5,6-5,True
152,5+,n,False,U,U,U,False
153,6+,n,False,4-4,5-4,5-4,False
154,3-,"Speech, Language and Communication Needs, Moderate Learning Difficulty",False,U,U,U,True
155,3+,"Speech, Language and Communication Needs",False,2-2,2-2,2-2,True
156,5+,n,True,4-3,4-3,4-3,False
157,6-,"Speech, Language and Communication Needs",False,4-4,7-7,7-7,True
158,4,n,False,4-3,U,U,False
159,5,n,False,5-5,6-6,6-6,False
160,6-,n,False,U,U,U,False
161,5-,"Speech, Language and Communication Needs, Moderate Learning Difficulty",True,4-4,5-4,5-4,True
162,5+,n,False,4-3,6-5,6-5,False
163,5,n,False,2-1,U,U,False
164,3-,"Social, Emotional & Mental Health",False,2-2,U,U,True
165,3+,Moderate Learning Difficulty,False,5-4,3-2,3-2,True
166,3-,Moderate Learning Difficulty,True,3-3,3-3,3-3,True
167,3,"Moderate Learning Difficulty, Speech, Language and Communication Needs",False,2-1,1-1,1-1,True
168,6+,n,True,5-4,5-4,5-4,False
169,4,Moderate Learning Difficulty,False,U,U,U,True
