,Unnamed: 0,FFT20,SEN need(s),PP,Year 10 Combined MOCK GRADE,Combined MOCK GRADE term 2,Combined MOCK GRADE Term 4,SEN bool
0,101,4-,n,False,5-4,U,U,False
1,110,6-,n,False,6-6,6-6,6-6,False
2,124,5-,n,False,5-4,4-4,4-4,False
3,108,5,n,False,5-4,4-4,4-4,False
4,155,3+,"Speech, Language and Communication Needs",False,2-2,2-2,2-2,True
5,8,3-,Specific Learning Difficulty,False,3-2,U,U,True
6,39,7-,n,False,9-8,9-9,9-9,False
7,53,3,n,True,3-3,2-2,2-2,False
8,145,5-,"Speech, Language and Communication Needs",True,3-2,2-2,2-2,True
9,158,4,n,False,4-3,U,U,False
10,31,4,Specific Learning Difficulty,False,U,3-2,3-2,True
11,90,4-,Moderate Learning Difficulty,False,2-1,1-1,1-1,True
12,87,5-,n,False,3-2,3-2,3-2,False
13,130,5+,"Anxiety disorder, Moderate Learning Difficulty",True,U,U,U,True
14,99,4,n,True,3-3,2-2,2-2,False
15,75,6-,n,False,5-5,6-5,6-5,False
16,133,4,"Social, Emotional & Mental Health",True,3-3,2-2,2-2,True
17,98,6,n,False,6-6,7-7,7-7,False
18,162,5+,n,False,4-3,6-5,6-5,False
19,43,5+,Moderate Learning Difficulty,False,7-6,8-7,8-7,True
20,129,4,Specific Learning Difficulty,False,4-4,3-3,3-3,True
21,111,5-,n,True,2-2,2-1,2-1,False
22,92,4,n,True,3-3,3-3,3-3,False
23,166,3-,Moderate Learning Difficulty,True,3-3,3-3,3-3,True
24,6,3,Specific Learning Difficulty,True,2-1,2-1,2-1,True
25,62,6-,n,False,5-4,4-3,4-3,False
26,67,5-,n,False,5-4,7-7,7-7,False
27,123,7-,n,False,4-4,4-4,4-4,False
28,69,5-,Autistic Spectrum Disorder,False,3-2,3-2,3-2,True
29,48,3,"Social, Emotional & Mental Health",False,3-2,2-1,2-1,True
30,169,4,Moderate Learning Difficulty,False,U,U,U,True
31,11,3+,"SEN Support, No Specialist Assessment, Moderate Learning Difficulty",False,U,U,U,True
32,9,2+,Specific Learning Difficulty,False,3-3,2-1,2-1,True
33,51,5+,n,False,4-4,4-4,4-4,False
34,96,3,Moderate Learning Difficulty,True,4-3,6-6,6-6,True
35,66,3+,Moderate Learning Difficulty,False,3-3,2-2,2-2,True
36,76,5-,n,False,8-8,5-5,5-5,False
37,24,4-,Moderate Learning Difficulty,False,5-4,4-3,4-3,True
38,35,5+,n,False,5-5,6-5,6-5,False
39,32,6,n,False,4-4,5-5,5-5,False
40,104,6-,n,False,4-3,7-7,7-7,False
41,56,4,n,False,4-3,4-3,4-3,False
42,146,5,n,False,5-4,5-4,5-4,False
43,153,6+,n,False,4-4,5-4,5-4,False
44,40,3,n,False,3-3,4-3,4-3,False
45,115,3,"Speech, Language and Communication Needs",False,2-2,2-2,2-2,True
46,106,4,n,True,3-2,2-1,2-1,False
47,167,3,"Moderate Learning Difficulty, Speech, Language and Communication Needs",False,2-1,1-1,1-1,True
48,120,3,Specific Learning Difficulty,False,4-3,4-3,4-3,True
49,163,5,n,False,2-1,U,U,False
50,17,5-,"Speech, Language and Communication Needs",True,9-8,7-6,7-6,True
51,49,4-,n,True,4-4,U,U,False
52,85,5-,n,False,8-7,6-6,6-6,False
53,142,4,n,True,4-3,5-4,5-4,False
54,94,4+,Moderate Learning Difficulty,False,5-4,6-6,6-6,True
55,13,5,n,False,4-4,5-4,5-4,False
56,23,4-,Moderate Learning Difficulty,False,U,U,U,True
57,14,4+,"Social, Emotional & Mental Health",False,4-3,4-3,4-3,True
58,157,6-,"Speech, Language and Communication Needs",False,4-4,7-7,7-7,True
59,121,5-,n,False,4-3,3-3,3-3,False
60,57,3-,Moderate Learning Difficulty,True,1-1,1-1,1-1,True
61,47,3,"Social, Emotional & Mental Health, Speech, Language and Communication Needs, Moderate Learning Difficulty",True,U,U,U,True
62,82,8,n,False,8-8,8-7,8-7,False
63,116,4,Moderate Learning Difficulty,False,5-5,5-4,5-4,True
64,159,5,n,False,5-5,6-6,6-6,False
65,103,6-,"Social, Emotional & Mental Health, Speech, Language and Communication Needs",True,3-3,3-2,3-2,True
66,44,4+,Moderate Learning Difficulty,False,5-5,7-6,7-6,True
67,127,6-,n,False,4-4,4-3,4-3,False
68,1,3-,"Moderate Learning Difficulty, Speech, Language and Communication Needs, Specific Learning Difficulty",True,U,U,U,True
69,117,4-,"Speech, Language and Communication Needs",True,4-3,3-3,3-3,True
70,105,5,n,True,4-3,3-3,3-3,False
71,54,6+,n,False,7-7,9-8,9-8,False
72,10,3,"Social, Emotional & Mental Health",True,1-1,2-1,2-1,True
73,122,5,n,False,3-3,3-3,3-3,False
74,148,8-,n,False,9-8,9-9,9-9,False
75,149,5-,n,False,5-4,6-6,6-6,False
76,25,4+,n,False,5-4,7-6,7-6,False
77,50,5+,n,True,U,U,U,False
78,136,3-,n,True,2-2,2-1,2-1,False
79,58,3,Moderate Learning Difficulty,True,3-3,1-1,1-1,True
80,131,6,n,False,4-4,5-4,5-4,False
81,74,7,n,False,8-7,8-8,8-8,False
82,93,3+,"Hearing Impairment, Social, Emotional & Mental Health",False,3-2,3-2,3-2,True
83,135,4,n,False,3-3,3-3,3-3,False
84,16,3,n,False,3-2,3-2,3-2,False
85,68,5-,n,False,6-5,6-6,6-6,False
86,4,4+,Autistic Spectrum Disorder,True,U,U,U,True
87,83,4-,n,False,2-2,4-3,4-3,False
88,165,3+,Moderate Learning Difficulty,False,5-4,3-2,3-2,True
89,100,4-,"Social, Emotional & Mental Health",True,2-2,3-3,3-3,True
90,118,3,"Specific Learning Difficulty, Moderate Learning Difficulty",True,1-1,2-1,2-1,True
91,161,5-,"Speech, Language and Communication Needs, Moderate Learning Difficulty",True,4-4,5-4,5-4,True
92,81,4+,n,False,4-3,3-3,3-3,False
93,72,5,n,False,7-6,7-7,7-7,False
94,18,4-,n,False,1-1,1-1,1-1,False
95,5,3-,"Autistic Spectrum Disorder, Social, Emotional & Mental Health, Speech, Language and Communication Needs",True,2-1,2-1,2-1,True
96,78,5+,"Social, Emotional & Mental Health, Autistic Spectrum Disorder",False,4-3,U,U,True
97,64,4,Moderate Learning Difficulty,False,3-3,3-2,3-2,True
98,21,4,Moderate Learning Difficulty,False,4-4,5-5,5-5,True
99,147,4+,Moderate Learning Difficulty,False,6-5,6-6,6-6,True
100,168,6+,n,True,5-4,5-4,5-4,False
101,65,7,n,False,7-7,9-8,9-8,False
102,73,7-,n,False,5-5,7-7,7-7,False
103,28,5+,"Speech, Language and Communication Needs",False,3-2,2-2,2-2,True
104,42,4-,n,False,4-3,4-4,4-4,False
105,156,5+,n,True,4-3,4-3,4-3,False
106,109,4,"Speech, Language and Communication Needs",False,U,3-3,3-3,True
107,27,3,n,True,3-3,2-1,2-1,False
108,86,4,n,False,9-9,7-6,7-6,False
109,126,5+,n,False,5-5,6-5,6-5,False
110,2,3+,Autistic Spectrum Disorder,False,3-2,3-3,3-3,True
111,34,4,n,False,4-3,5-5,5-5,False
112,91,6-,n,False,7-7,9-8,9-8,False
113,164,3-,"Social, Emotional & Mental Health",False,2-2,U,U,True
114,113,3,n,False,1-1,1-1,1-1,False
115,63,4+,n,False,4-4,4-3,4-3,False
116,12,2+,Moderate Learning Difficulty,False,2-1,2-1,2-1,True
117,160,6-,n,False,U,U,U,False
118,80,4-,Moderate Learning Difficulty,False,4-3,3-2,3-2,True
119,22,4,n,False,5-5,6-5,6-5,False
120,151,6+,"Social, Emotional & Mental Health",False,4-4,6-5,6-5,True
121,77,4,n,False,3-3,4-3,4-3,False
122,70,5+,n,False,6-6,U,U,False
123,137,5,n,True,5-4,5-5,5-5,False
124,97,6,n,False,U,U,U,False
125,139,4+,n,False,5-5,7-6,7-6,False
126,152,5+,n,False,U,U,U,False
127,95,3-,n,True,3-2,2-2,2-2,False
128,125,4,n,False,3-3,4-4,4-4,False
129,128,6-,n,True,3-2,U,U,False
130,154,3-,"Speech, Language and Communication Needs, Moderate Learning Difficulty",False,U,U,U,True
131,59,4-,"Speech, Language and Communication Needs, Moderate Learning Difficulty",False,1-1,3-3,3-3,True
132,46,4+,n,False,4-4,4-4,4-4,False
133,45,5,n,False,3-2,3-3,3-3,False
134,119,5,n,True,5-5,4-4,4-4,False
135,114,4+,"Specific Learning Difficulty, Speech, Language and Communication Needs",False,U,U,U,True
