,Combined or triple?,Class,Intervention ,Grade 8/9 workbook?,Combined Tier - should match summer 2023,Biology Current tier - Oct 2022,Chemistry Current tier - Oct 2022,Physics Current tier - Oct 2022,FFT: Risk of lower grade,FFT20,FFT: Chance of higher grade,PP,SEN need(s),Ecology and Biodiversity Triple test (out of 38),Combined Biology MARK,Combined Chemistry MARK,Combined Physics MARK,Combined TOTAL MARK,Combined MOCK GRADE,Will need letter home?,Combined AP3 MLG,Biology TOTAL MARK,year 10 bio grade,Biology AP3 MLG,Chemistry TOTAL MARK,year 10 chem grade,Chemistry AP3 MLG,Physics TOTAL MARK,year 10 phys grade,Physics AP3 MLG,Combined MOCK tier - Oct 2022,Biology MOCK tier - Oct 2022,Chemistry MOCK tier - Oct 2022,Physics Current tier - Oct 2022.1,Combined Biology MARK.1,Combined Chemistry MARK.1,Combined Physics MARK.1,Combined TOTAL MARK.1,ANY MISSED MOCKS??,Combined MOCK GRADE.1,Will need letter home? Looked at MS?,Combined AP3 MLG.1,Combined Hybrid MARK,Biology TOTAL MARK.1,year 11 paper 1 bio grade,Biology AP3 MLG.1,Chemistry TOTAL MARK.1,year 11 paper 1 chem grade,Chemistry AP3 MLG.1,Physics TOTAL MARK.1,year 11 paper 1 phys grade,Physics AP3 MLG.1,TRIPLE HYBRID MARK ,Combined Mock Tier ,Combined Biology MARK (without Q9)/70,Combined Chemistry MARK.2,Combined Physics MARK.2,Combined TOTAL MARK.2,Combined MOCK GRADE.2,ANY MISSED MOCKS??.1,Biology Mock Tier ,Biology TOTAL MARK.2,year 11 paper 2 bio grade,Chemistry Mock Tier ,Chemistry TOTAL MARK.2,year 11 paper 2 chem grade,Physics Mock Tier ,Physics TOTAL MARK.2,year 11 paper 2 phys grade
0,Triple,11aTs1,,,,tf,tf,tf,35%,4,35%,No,,10.0,,,,,,,,,,,28.0,2,,veronik,,,,tf,tf,tf,,,,0,,U,,,,63,5.0,,53,4,,,,,50.0,,,,,,,,ch,15,U,tf,26.0,2,tf,32,2
1,Triple,11aTs1,,,,th,th,th,26%,5+,42%,No,Moderate Learning Difficulty,24.0,,,,,,,,41.0,5,,37.0,5,,46,6,,,th,th,th,,,,0,,U,,,,45,6.0,,42,6,,66.0,7,,,,,,,,,,th,43,5,th,51.0,6,th,41,5
2,Triple,11aTs1,,,,th,th,th,32%,7+,44%,No,,31.0,,,,,,,,63.0,8,,59.0,8,,66,8,,,th,th,th,,,,0,,U,,,,74,9.0,,77,9,,80.0,9,,,,,,,,,,th,80,9,th,78.0,9,th,63,8
3,Triple,11aTs1,,,,tf,tf,tf,26%,5+,42%,No,,5.0,,,,,,,,39.0,3,,33.0,2,,48,3,,,tf,tf,tf,,,,0,,U,,,,50,3.0,,39,3,,54.0,3,,57.0,,,,,,,,tf,52,3,tf,42.0,3,tf,38,2
4,Triple,11aTs1,,,,th,th,th,32%,5,35%,No,,21.0,,,,,,,,42.0,5,,44.0,6,,44,5,,,th,th,th,,,,0,,U,,,,69,9.0,,61,7,,78.0,9,,,,,,,,,,th,52,6,th,66.0,8,th,56,7
5,Triple,11aTs1,NTP,,,th,th,th,32%,7+,45%,Yes,,23.0,,,,,,,,35.0,5,,38.0,5,,51,6,,,th,th,th,,,,0,,U,,,,50,6.0,,62,8,,71.0,8,,,,,,,,,,th,44,5,th,53.0,6,th,40,5
6,Triple,11aTs1,,,,th,th,th,29%,6+,44%,No,,32.0,,,,,,,,72.0,9,,80.0,9,,84,9,,,th,th,th,,,,0,,U,,,,84,9.0,,81,9,,93.0,9,,,,,,,,,,th,73,9,th,88.0,9,th,79,9
7,Triple,11aTs1,,,,th,th,th,24%,4+,47%,No,,26.0,,,,,,,,50.0,6,,,,,,,,,th,th,th,,,,0,,U,,,,60,8.0,,68,8,,70.0,8,,,,,,,,,,th,57,7,th,48.0,6,th,47,6
8,Triple,11aTs1,,,,th,th,th,50%,6-,26%,No,,21.0,,,,,,,,71.0,9,,70.0,9,,79,9,,,th,th,th,,,,0,,U,,,,74,9.0,,56,7,,81.0,9,,,,,,,,,,th,72,9,th,76.0,9,th,60,7
9,Triple,11aTs1,,,,th,th,th,25%,6+,50%,No,,23.0,,,,,,,,60.0,7,,44.0,6,,69,8,,,th,th,th,,,,0,,U,,,,77,9.0,,61,7,,80.0,9,,,,,,,,,,th,75,9,th,67.0,8,th,63,8
