upn,estimate_real,actual_real,gender_ap2,art_&_design_gcse_level_1/2_ap1,art_&_design_gcse_level_1/2_ap2,art_&_design_gcse_level_1/2_real
g936239910030,49,56,Male,6,6,5
l394201008038,26,39,Female,4,5,5
m888201710014,68,68,Male,6,7,6
d931252109051,42,56,Female,5,6,6
l931252709035,71,70,Female,8,8,7
l931252508066,49,56,Female,4,4,6
z931101108062,32,37,Male,5,5,4
v802229210007,49,58,Female,8,8,6
q931252109012,26,39,Female,2,2,5
d931100608056,77,80,Female,9,9,7
c931316110004,56,56,Female,7,7,6
a931259308039,19,30,Female,4,5,4
r931325310022,77,80,Female,7,7,7
n931325309008,47,50,Female,4,6,6
g931259509014,66,70,Female,7,8,7
j931101108070,51,58,Female,8,8,6
v931414517045,47,58,Male,5,5,6
k931100609063,35,46,Female,7,7,5
d931383810007,33,39,Female,6,6,5
n931253409013,37,35,Male,4,3,4
g931321110032,79,81,Female,8,9,8
w931321110033,83,86,Female,9,9,8
t931383615020,49,60,Female,7,7,6
v931321008075,54,61,Female,6,6,6
u931325209009,43,49,Female,9,9,5
d931100609030,59,65,Female,7,7,6
w310350110023,49,54,Female,6,7,6
w931254310067,51,54,Female,7,7,6
f931100509027,35,39,Female,5,6,5
a931100509014,35,41,Female,0,0,5
r931321009045,43,48,Female,4,4,5
h931252710014,43,43,Male,5,5,4
d931325309031,40,47,Female,4,5,5
v931252909047,35,41,Female,5,4,5
f306200709087,71,78,Female,8,8,7
x931252710015,56,65,Female,9,9,6
t931252911047,33,48,Female,7,8,5
h931321309010,40,45,Male,5,5,4
m931252916068,24,32,Female,8,8,4
v931240110042,35,47,Female,7,7,5
t931252110004,38,43,Male,5,5,4
l931321113001,73,78,Female,8,8,7
m931321110016,63,58,Male,6,6,6
q931321008053,59,58,Male,5,5,5
q931101109017,56,54,Female,6,6,6
t931100609002,63,61,Female,6,6,6
y931100509032,56,68,Female,8,8,7
u931253114004,40,48,Female,4,4,5
j931384210007,35,39,Female,3,3,5
h931101008036,59,49,Male,8,7,5
z931100609006,63,70,Female,5,6,7
c931253110015,43,43,Male,5,6,4
r931100609009,68,70,Female,8,8,7
w931101108060,51,58,Female,6,7,6
n931240110007,27,35,Female,2,4,4
w931252509017,29,31,Male,4,4,3
l931101008038,68,70,Female,9,9,7
