upn,rm_scaled_score_real,estimate_real,actual_real,gender_ap2,computer_science__-_gcse_9-1_full_course_ap1,computer_science__-_gcse_9-1_full_course_ap2,computer_science__-_gcse_9-1_full_course_real
y888201710013,116,77,76,Male,9,9,7
m888201710014,113,68,68,Male,9,9,6
r931258916027,93,30,43,Male,8,9,3
m931325212046,101,42,38,Male,3,4,3
n931252909043,107,56,56,Male,5,6,5
m931100509004,100,40,45,Male,3,6,4
u931252114001,98,38,47,Female,4,6,3
c931100609010,104,47,51,Female,5,5,4
m931252110020,98,38,43,Male,5,6,3
v931252111045,103,45,47,Male,6,6,4
n931253409013,97,37,35,Male,1,2,3
q931235212001,107,54,58,Male,8,8,5
g931321113006,112,66,58,Male,6,8,5
y931321309029,113,68,68,Male,4,7,6
p931101109055,101,43,49,Male,1,4,4
y931252211003,102,43,43,Male,5,6,3
c931321610014,106,51,54,Male,8,7,5
n304350709089,108,59,49,Male,4,6,4
x931325208068,104,49,43,Male,7,8,4
k931101108059,101,43,43,Male,1,4,4
k931101109004,117,77,84,Female,9,9,8
v931100509030,116,75,79,Male,1,2,8
k931383410019,101,43,40,Male,1,5,3
z931101109005,112,66,78,Female,9,9,7
t931100609031,117,77,78,Male,9,9,8
j931101109013,108,56,68,Female,4,6,6
r931100609009,112,68,70,Female,6,6,6
n931325209054,100,42,40,Male,5,6,3
