upn,estimate_real,actual_real,gender_ap2,d_&_t_product_design_gcse_level_1/2,d_&_t_product_design_gcse_level_1/2_real
r928218115049,59,66,Female,7,7
a931383810005,42,43,Male,4,4
m931252110020,38,43,Male,5,4
y931321610021,51,54,Male,6,5
t931383615020,49,60,Female,5,6
w310350110023,49,54,Female,4,6
g931321113006,66,58,Male,8,6
t931252509015,42,49,Male,3,4
r931321009045,43,48,Female,3,5
f931100609041,68,68,Male,7,6
t931252911047,33,48,Female,5,5
w931383410018,56,58,Female,6,6
d931252109049,40,45,Male,6,4
q931252108040,27,35,Male,2,3
r931100609009,68,70,Female,8,7
w931101108060,51,58,Female,6,6
n931101109035,40,46,Female,4,4
