upn,estimate_real,actual_real,gender_ap2,d_&_t_textiles_technology_gcse_level_ap1,d_&_t_textiles_technology_gcse_level_ap2
l394201008038,26,48,Female,5,4
l931252508066,49,38,Female,3,5
y931100509003,51,69,Female,6,5
j888211710006,43,52,Female,6,7
d931101009015,24,17,Female,3,2
a380404117005,0,49,Female,6,6
d931383810007,33,53,Female,4,4
h931100509009,49,45,Female,4,4
v931252710004,68,60,Female,8,8
f931100509027,35,32,Female,4,4
u931101008035,47,47,Female,8,7
p931252710020,71,80,Female,9,9
m931321115023,38,44,Female,6,6
q931101109017,56,57,Female,5,6
p931252108047,37,42,Female,4,4
y931100509032,56,74,Female,9,9
x931252211041,0,28,Female,3,2
f931100609012,59,61,Female,8,8
m931252509029,35,28,Female,2,2
v931101109041,45,22,Female,1,4
