upn,estimate_real,actual_real,gender_ap2,french_language_gcse_level_1/2_ap1,french_language_gcse_level_1/2_ap2,french_language_gcse_level_1/2_real
l394201008038,26,39,Female,4,5,3
y888201710013,77,76,Male,9,8,7
h931325209012,71,81,Male,7,6,7
c931252508049,43,47,Female,2,2,4
v802229210007,49,58,Female,5,5,5
d931100608056,77,80,Female,8,8,8
m931100609016,66,60,Male,7,7,5
n931100609007,73,78,Male,7,7,7
b931252509032,45,52,Female,3,2,5
e931252916073,26,37,Male,3,3,3
g931101109060,71,72,Male,7,6,7
v931414517045,47,58,Male,4,4,5
k931100609063,35,46,Female,4,3,4
m931252909052,49,57,Female,5,5,5
w931321110033,83,86,Female,9,9,8
t931383615020,49,60,Female,7,7,5
m931252710007,75,78,Male,8,8,7
u931325209009,43,49,Female,5,5,4
q931235212001,54,58,Male,8,8,5
h931100509011,61,68,Female,7,7,6
y931321309029,68,68,Male,4,4,6
y931252211003,43,43,Male,5,5,3
j931101109071,49,63,Female,5,5,6
f931100509027,35,39,Female,2,1,3
c931321610014,51,54,Male,8,8,5
u931101109019,51,56,Male,4,4,5
b931383814058,63,68,Female,7,7,7
q931325810006,59,58,Female,5,4,5
v931252909047,35,41,Female,3,2,4
x931252710015,56,65,Female,7,7,6
f931100609041,68,68,Male,5,5,6
f931235210018,49,60,Male,7,6,5
t931252911047,33,48,Female,5,5,4
v931240110042,35,47,Female,3,3,4
g931383410017,56,60,Male,9,9,5
w931321009038,63,66,Male,4,3,6
n931383610018,66,80,Female,7,7,8
l931321113001,73,78,Female,9,8,7
z931383214002,38,49,Female,8,8,4
u931383908031,59,70,Female,7,7,6
x931325208068,49,43,Male,4,4,4
q931101109017,56,54,Female,3,3,5
c931100609037,43,43,Male,2,2,4
k931101109004,77,84,Female,8,8,8
v931101109012,38,43,Male,2,2,3
j931384210007,35,39,Female,3,3,4
h931101008036,59,49,Male,2,1,4
w931100608061,51,54,Male,5,6,4
z931100609006,63,70,Female,6,6,7
q931252909054,61,56,Male,4,4,5
n931325209054,42,40,Male,4,3,3
w931101108060,51,58,Female,5,5,5
t931100609029,66,78,Female,9,8,7
m931235210024,51,49,Female,4,4,4
a931252110030,43,52,Female,5,5,5
u931101109048,42,49,Female,5,5,4
v931101109041,45,55,Female,2,2,5
