upn,rm_scaled_score_real,estimate_real,actual_real,gender_ap2,ict_btec_ap1,ict_btec_ap2,ict_btec_real
m931321008051,106.0,51.95,54.5,Male,P1,P1,M2
d931252714054,100.0,40.33,43.0,Male,P2,M2,P2
c931101008023,106.0,51.95,60.0,Female,P1,P1,M2
k931252509018,86.5,22.75,30.0,Female,P1,P1,P1
g931321110003,112.5,68.91,63.0,Male,D2,D1,M2
a931259308039,83.0,19.87,30.0,Female,P1,P1,P1
n931252508050,106.0,51.95,54.5,Male,U,P1,M2
e931252916073,89.5,26.23,37.0,Male,P2,P2,P1
d931325308030,107.5,56.58,64.0,Male,P1,P1,M2
x931325210023,97.5,37.14,43.0,Male,M2,M2,P1
b931259309004,101.5,43.69,43.0,Male,P1,M1,P2
t931383615020,104.5,49.66,60.0,Female,M2,M2,M2
k931252509020,97.5,37.14,43.0,Male,P2,P2,P1
w931252111065,98.5,38.7,45.0,Male,M1,P2,P2
v931321008075,106.5,54.23,61.0,Female,P1,M1,M2
w931235209029,96.5,35.31,35.0,Male,M2,M2,P1
y931252509028,99.5,40.33,40.0,Male,P2,P2,P1
k931252910051,115.5,75.69,76.0,Male,M1,P2,D2
w391377809016,97.5,37.14,40.0,Male,P1,P1,P1
t931252509015,101.0,42.03,49.0,Male,M1,P1,P2
l931383612038,99.5,40.33,48.5,Female,P2,P2,P1
r931101109037,93.5,30.97,41.0,Female,M2,M2,P1
m931252916068,88.5,24.34,32.0,Female,M1,P2,P1
b931252109011,99.5,40.33,47.0,Female,M2,M2,P1
d316209709080,82.0,18.54,29.0,Male,P1,P1,P1
p931325208073,102.0,43.69,56.0,Female,M2,M2,P2
k931325309006,96.5,35.31,46.0,Female,M1,P2,P1
z931325309036,90.0,26.23,37.0,Male,P2,P1,P1
m931321115023,99.0,38.7,48.0,Female,M1,M1,P1
c931100609037,102.0,43.69,43.0,Male,P1,P1,P2
v931101109012,99.0,38.7,43.0,Male,M1,M1,P1
b931325309020,98.0,37.14,43.0,Male,P2,P2,P1
m931235210024,105.5,51.95,49.0,Female,P2,P1,P2
