upn,estimate_real,actual_real,gender_ap2,music_studies__gcse_level_1/2_ap1,music_studies__gcse_level_1/2_ap2,music_studies__gcse_level_1/2_real
f931321308025,33,39,Female,2,2,3
r931252710029,68,68,Female,7,7,7
u931252710013,42,40,Male,5,5,4
v333218013124,47,60,Female,6,5,6
x931252710015,56,65,Female,7,7,6
m931252916068,24,32,Female,4,4,3
l931321113001,73,78,Female,9,8,8
u931383908031,59,70,Female,7,7,7
k931101108059,43,43,Male,4,3,4
k931101109004,77,84,Female,8,8,8
v931100509030,75,79,Male,6,6,8
t931321112004,79,86,Female,8,8,8
a931252110030,43,52,Female,7,6,5
