upn,rm_scaled_score_real,estimate_real,actual_real,gender_ap2,music_tech_grade_ap1,music_tech_grade_ap2,music_tech_grade_real
g936239910030,105.0,49.66,56.0,Male,D2,D2,M2
m931325212046,101.0,42.03,38.0,Male,M2,M2,P2
x931235209022,105.5,51.95,51.0,Male,M2,M2,M2
z931101108062,95.0,32.46,37.0,Male,P2,P2,P1
a931383310001,106.0,51.95,56.0,Female,D2,D2,M2
p931261209024,93.5,30.97,33.0,Male,P1,P1,P1
a931259308039,83.0,19.87,30.0,Female,P2,P2,P1
b931252509032,103.0,45.79,52.5,Female,P2,P2,M2
d931325308030,107.5,56.58,64.0,Male,P2,P2,M2
g931259509014,112.0,66.48,70.0,Female,D2,D2,D2
c931100609010,104.0,47.52,51.0,Female,M2,M2,M2
l931101109024,109.5,61.57,58.0,Male,P2,P2,M2
p931383310002,104.5,49.66,49.0,Female,D2,D2,M2
z931325309007,101.0,42.03,47.0,Female,M2,M2,P2
f306200709087,114.0,71.19,78.0,Female,D2,D2,D2
m931321110016,110.5,63.85,58.0,Male,M2,M2,M2
q931101109046,107.0,54.23,64.0,Female,M2,M2,M2
q931101008033,117.0,77.86,78.0,Male,D2,D2,D2
