,Combined or triple?,Intervention ,Grade 8/9 workbook?,Combined Tier - should match summer 2023,FFT20,PP,SEN need(s),Year 10 Combined Biology MARK,Year 10 Combined Chemistry MARK,Year 10 Combined Physics MARK,Year 10 Combined TOTAL MARK,Year 10 Combined MOCK GRADE,Year 11 term 2 Combined Biology MARK,Year 11 term 2 Combined Chemistry MARK,Year 11 term 2 Combined Physics MARK,Year 11 term 2 Combined TOTAL MARK,Combined MOCK GRADE term 2,Combined Mock Tier ,Combined Biology MARK (without Q9)/70,Combined Chemistry MARK,Combined Physics MARK,Combined TOTAL MARK,Combined MOCK GRADE Term 4,ANY MISSED MOCKS??,FFT20.1
0,Combined,,,F,3-,Yes,"Moderate Learning Difficulty, Hearing Impairment",6.0,13.0,9.0,28.0,1-1,,15,11.0,26.0,1-1,F,9,9,9,27.0,,,3-
1,Combined,,,F,3-,Yes,"Moderate Learning Difficulty, Speech, Language and Communication Needs, Specific Learning Difficulty",,,,0.0,U,,20,,20.0,U,F,,,,0.0,U,,3-
2,Combined,,,F,3+,,Autistic Spectrum Disorder,25.0,16.0,21.0,62.0,3-2,20,22,28.0,70.0,3-3,F,29,25,24,78.0,3-3,,3+
3,Combined,,,F,,,,7.0,2.0,22.0,31.0,1-1,,11,25.0,36.0,2-2,F,16,13,23,52.0,2-2,,
4,Combined,,,F,4+,Yes,Autistic Spectrum Disorder,,,,0.0,U,30,,19.0,49.0,U,F,,,,0.0,U,,4+
5,Combined,,,F,3-,Yes,"Autistic Spectrum Disorder, Social, Emotional & Mental Health, Speech, Language and Communication Needs",12.0,14.0,16.0,42.0,2-1,,11,11.0,22.0,2-1,F,16,10,10,36.0,2-1,,3-
6,Combined,,,F,3,Yes,Specific Learning Difficulty,11.0,13.0,17.0,41.0,2-1,32,15,25.0,72.0,2-1,F,17,9,13,39.0,2-1,,3
7,Combined,,,F,3,,,,,,,Ab,35,,42.0,77.0,U,F,,,,0.0,U,,3
8,Combined,,,F,3-,,Specific Learning Difficulty,16.0,22.0,21.0,59.0,3-2,21,11,8.0,40.0,U,F,,,,0.0,U,,3-
9,Combined,,,F,2+,,Specific Learning Difficulty,24.0,22.0,26.0,72.0,3-3,,20,22.0,42.0,2-1,F,18,15,13,46.0,2-1,,2+
10,Combined,,,F,3,Yes,"Social, Emotional & Mental Health",11.0,8.0,12.0,31.0,1-1,,16,23.0,39.0,2-1,F,16,14,13,43.0,2-1,,3
11,Combined,,,F,3+,,"SEN Support, No Specialist Assessment, Moderate Learning Difficulty",,,,0.0,U,22,,,22.0,U,F,,,,0.0,U,,3+
12,Combined,,,F,2+,,Moderate Learning Difficulty,14.0,15.0,15.0,44.0,2-1,,15,23.0,38.0,2-1,F,22,10,14,46.0,2-1,,2+
13,Combined,,,H,5,,,11.0,10.0,19.0,40.0,4-4,20,16,23.0,59.0,5-4,H,22,18,17,57.0,5-4,,5
14,Combined,,,F,4+,,"Social, Emotional & Mental Health",34.0,28.0,23.0,85.0,4-3,40,38,45.0,123.0,4-3,F,43,30,22,95.0,4-3,,4+
15,Combined,,,H,,,,32.0,19.0,26.0,77.0,6-6,29,28,42.0,99.0,8-7,H,41,36,31,108.0,8-7,,
16,Combined,,,F,3,,,16.0,22.0,31.0,69.0,3-2,30,21,33.0,84.0,3-2,F,29,12,21,62.0,3-2,,3
17,Combined,,,H,5-,Yes,"Speech, Language and Communication Needs",45.0,39.0,43.0,127.0,9-8,25,27,16.0,68.0,7-6,H,32,33,33,98.0,7-6,,5-
18,Combined,,,F,4-,,,7.0,6.0,12.0,25.0,1-1,?,13,11.0,36.0,1-1,F,13,5,14,32.0,1-1,,4-
19,Combined,,,F,4-,Yes,Autistic Spectrum Disorder,18.0,,,54.0,2-2,?,?,44.0,88.0,U,F,Abs,Abs,Abs,0.0,Abs,,4-
20,Combined,,,F,,,,,15.0,23.0,57.0,3-2,17,7,31.0,55.0,1-1,F,9,3,10,22.0,1-1,,
21,Combined,,,H,4,,Moderate Learning Difficulty,14.0,12.0,19.0,45.0,4-4,10,15,24.0,49.0,5-5,H,25,21,19,65.0,5-5,,4
22,Combined,NTP,,H,4,,,15.0,18.0,27.0,60.0,5-5,10,21,21.0,52.0,6-5,H,26,24,29,79.0,6-5,,4
23,Combined,,,H,4-,,Moderate Learning Difficulty,3.0,5.0,10.0,18.0,U,5,5,1.0,11.0,U,H,7,4,4,15.0,U,,4-
24,Combined,,,F,4-,,Moderate Learning Difficulty,38.0,,,114.0,5-4,34,25,33.0,92.0,4-3,F,44,35,16,95.0,4-3,,4-
25,Combined,,,H,4+,,,20.0,16.0,18.0,54.0,5-4,24,21,29.0,74.0,7-6,H,37,32,30,99.0,7-6,,4+
26,Combined,,,F,,,,,23.0,27.0,75.0,3-3,13,13,19.0,45.0,2-2,F,20,9,8,55.5,2-2,,
27,Combined,,,F,3,Yes,,,21.0,27.0,72.0,3-3,28,?,7.0,52.5,2-1,F,14,19,12,45.0,2-1,,3
28,Combined,,,F,5+,,"Speech, Language and Communication Needs",21.0,13.0,24.0,58.0,3-2,25,17,35.0,77.0,2-2,F,25,16,18,59.0,2-2,,5+
29,Combined,,y,H,,,,16.0,17.0,22.0,55.0,5-4,24,20,29.0,73.0,6-5,H,36,23,20,79.0,6-5,,
