,FFT20,Year 10 Combined MOCK GRADE,Combined MOCK GRADE term 2,Combined MOCK GRADE Term 4
1,,0.0,0.0,0.0
2,,2.5,3.0,3.0
4,,0.0,0.0,0.0
5,,1.5,1.5,1.5
6,,1.5,1.5,1.5
8,,2.5,0.0,0.0
9,,3.0,1.5,1.5
10,,1.0,1.5,1.5
11,,0.0,0.0,0.0
12,,1.5,1.5,1.5
13,,4.0,4.5,4.5
14,,3.5,3.5,3.5
16,,2.5,2.5,2.5
17,,8.5,6.5,6.5
18,,1.0,1.0,1.0
21,,4.0,5.0,5.0
22,,5.0,5.5,5.5
23,,0.0,0.0,0.0
24,,4.5,3.5,3.5
25,,4.5,6.5,6.5
27,,3.0,1.5,1.5
28,,2.5,2.0,2.0
31,,0.0,2.5,2.5
32,,4.0,5.0,5.0
34,,3.5,5.0,5.0
35,,5.0,5.5,5.5
39,,8.5,9.0,9.0
40,,3.0,3.5,3.5
42,,3.5,4.0,4.0
43,,6.5,7.5,7.5
44,,5.0,6.5,6.5
45,,2.5,3.0,3.0
46,,4.0,4.0,4.0
47,,0.0,0.0,0.0
48,,2.5,1.5,1.5
49,,4.0,0.0,0.0
50,,0.0,0.0,0.0
51,,4.0,4.0,4.0
53,,3.0,2.0,2.0
54,,7.0,8.5,8.5
56,,3.5,3.5,3.5
57,,1.0,1.0,1.0
58,,3.0,1.0,1.0
59,,1.0,3.0,3.0
62,,4.5,3.5,3.5
63,,4.0,3.5,3.5
64,,3.0,2.5,2.5
65,,7.0,8.5,8.5
66,,3.0,2.0,2.0
67,,4.5,7.0,7.0
68,,5.5,6.0,6.0
69,,2.5,2.5,2.5
70,,6.0,0.0,0.0
72,,6.5,7.0,7.0
73,,5.0,7.0,7.0
74,,7.5,8.0,8.0
75,,5.0,5.5,5.5
76,,8.0,5.0,5.0
77,,3.0,3.5,3.5
78,,3.5,0.0,0.0
80,,3.5,2.5,2.5
81,,3.5,3.0,3.0
82,,8.0,7.5,7.5
83,,2.0,3.5,3.5
85,,7.5,6.0,6.0
86,,9.0,6.5,6.5
87,,2.5,2.5,2.5
90,,1.5,1.0,1.0
91,,7.0,8.5,8.5
92,,3.0,3.0,3.0
93,,2.5,2.5,2.5
94,,4.5,6.0,6.0
95,,2.5,2.0,2.0
96,,3.5,6.0,6.0
97,,0.0,0.0,0.0
98,,6.0,7.0,7.0
99,,3.0,2.0,2.0
100,,2.0,3.0,3.0
101,,4.5,0.0,0.0
103,,3.0,2.5,2.5
104,,3.5,7.0,7.0
105,,3.5,3.0,3.0
106,,2.5,1.5,1.5
108,,4.5,4.0,4.0
109,,0.0,3.0,3.0
110,,6.0,6.0,6.0
111,,2.0,1.5,1.5
113,,1.0,1.0,1.0
114,,0.0,0.0,0.0
115,,2.0,2.0,2.0
116,,5.0,4.5,4.5
117,,3.5,3.0,3.0
118,,1.0,1.5,1.5
119,,5.0,4.0,4.0
120,,3.5,3.5,3.5
121,,3.5,3.0,3.0
122,,3.0,3.0,3.0
123,,4.0,4.0,4.0
124,,4.5,4.0,4.0
125,,3.0,4.0,4.0
126,,5.0,5.5,5.5
127,,4.0,3.5,3.5
128,,2.5,0.0,0.0
129,,4.0,3.0,3.0
130,,0.0,0.0,0.0
131,,4.0,4.5,4.5
133,,3.0,2.0,2.0
135,,3.0,3.0,3.0
136,,2.0,1.5,1.5
137,,4.5,5.0,5.0
139,,5.0,6.5,6.5
142,,3.5,4.5,4.5
145,,2.5,2.0,2.0
146,,4.5,4.5,4.5
147,,5.5,6.0,6.0
148,,8.5,9.0,9.0
149,,4.5,6.0,6.0
151,,4.0,5.5,5.5
152,,0.0,0.0,0.0
153,,4.0,4.5,4.5
154,,0.0,0.0,0.0
155,,2.0,2.0,2.0
156,,3.5,3.5,3.5
157,,4.0,7.0,7.0
158,,3.5,0.0,0.0
159,,5.0,6.0,6.0
160,,0.0,0.0,0.0
161,,4.0,4.5,4.5
162,,3.5,5.5,5.5
163,,1.5,0.0,0.0
164,,2.0,0.0,0.0
165,,4.5,2.5,2.5
166,,3.0,3.0,3.0
167,,1.5,1.0,1.0
168,,4.5,4.5,4.5
169,,0.0,0.0,0.0
