upn,rm_scaled_score_real,estimate_real,actual_real,art_&_design_gcse_level_1/2_ap1,art_&_design_gcse_level_1/2_ap2,art_&_design_gcse_level_1/2_real
G936239910030,,,,6,6.0,
L394201008038,,,,4,5.0,
Y888201710013,,,,,,
M888201710014,,,,6,7.0,
D931252109051,,,,5,6.0,
R928218115049,,,,,,
Y931252508056,,,,,,
M931321008051,,,,,,
Q931325208064,,,,,,
T931412020034,,,,6,6.0,
H931325209012,,,,,,
R931258916027,,,,,,
Q931258910001,,,,,,
C931101109007,,,,,,
M931325212046,,,,,,
X931235209022,,,,,,
L931252709035,,,,8,8.0,
L931252508066,,,,4,4.0,
C931252508049,,,,,,
D931252714054,,,,,,
Z931101108062,,,,5,5.0,
N931101108063,,,,,,
Y931100509003,,,,,,
N931252909043,,,,,,
A931383310001,,,,,,
P931261209024,,,,,,
V802229210007,,,,8,8.0,
J888211710006,,,,,,
C931101008023,,,,,,
Q931252109012,,,,2,,
T931101109001,,,,,,
M931100509004,,,,,,
K931252509018,,,,,,
A931383810034,,,,,,
D931100608056,,,,9,9.0,
M931412019009,,,,4,4.0,
M931100609016,,,,,,
G931321110003,,,,,,
C931316110004,,,,7,7.0,
A931259308039,,,,4,5.0,
J931101109042,,,,,,
U931258914007,,,,,,
Q879418719002,,,,5,5.0,
N931100609007,,,,,,
G931383411018,,,,,,
N931252508050,,,,,,
F931252108061,,,,,,
W931101109061,,,,,,
B931412016036,,,,8,8.0,
T931259308044,,,,,,
A931383810005,,,,,,
C931101109036,,,,,,
B931252509032,,,,,,
R931325310022,,,,7,7.0,
P931318010017,,,,,,
E931252916073,,,,,,
D931325308030,,,,,,
G931101109060,,,,,,
U931252114001,,,,,,
N931325309008,,,,4,6.0,
G931259509014,,,,7,8.0,
X931325210023,,,,,,
J931101108070,,,,8,8.0,
V931252509026,,,,,,
C931101108064,,,,,,
V931414517045,,,,5,5.0,
U931412020025,,,,,,
D931101009015,,,,,,
C931100609010,,,,,,
N931412020041,,,,,,
K931100609063,,,,7,7.0,
M931259308029,,,,,,
M931252110020,,,,,,
P931252109019,,,,,,
A380404117005,,,,,,
V931252111045,,,,,,
D931383810007,,,,6,6.0,
Y931101108071,,,,,,
P825200110001,,,,,,
H931100509009,,,,,,
L931101109024,,,,,,
B931259309004,,,,,,
N931253409013,,,,4,3.0,
W931252715060,,,,,,
M931252909052,,,,,,
Y931321610021,,,,,,
H931252109073,,,,,,
T931252108049,,,,,,
V931252710004,,,,,,
Q931252907052,,,,,,
M931321610022,,,,,,
G931321110032,,,,8,9.0,
W931321110033,,,,9,9.0,
E931100609021,,,,,,
C673336808019,,,,,,
V931412017033,,,,7,8.0,
T931383615020,,,,7,7.0,
H886247410029,,,,,,
K931252509020,,,,,,
L931252909059,,,,,,
W931252111065,,,,,,
M931252710007,,,,,,
L931412020030,,,,,,
V931321008075,,,,6,6.0,
U931325209009,,,,9,9.0,
D931100609030,,,,7,7.0,
P931383310002,,,,,,
Z931325309007,,,,,,
W931235209029,,,,,,
Q931235212001,,,,,,
F931321308025,,,,,,
R931252710029,,,,,,
H931100509011,,,,,,
W310350110023,,,,6,7.0,
G931321113006,,,,,,
B931100609017,,,,,,
Y931252509028,,,,,,
Q931253109015,,,,,,
L931100509013,,,,,,
A931252509012,,,,,,
Y931321309029,,,,,,
Z931412020040,,,,,,
P931101109055,,,,,,
D931325208074,,,,,,
W931254310067,,,,7,7.0,
T887690719015,,,,,,
Y931252211003,,,,,,
K931252910051,,,,,,
J931101109071,,,,,,
F931100509027,,,,5,6.0,
W391377809016,,,,,,
Z931254309090,,,,,,
B931252110021,,,,,,
A931100509014,,,,U,,
W931321310001,,,,,,
B931252710010,,,,,,
C931321610014,,,,,,
U931101109019,,,,,,
B931383814058,,,,,,
Q931202016013,,,,,,
T931412018023,,,,3,4.0,
T931252509015,,,,,,
R931321009045,,,,4,4.0,
Q931325810006,,,,,,
N304350709089,,,,,,
U931252710013,,,,,,
H931252710014,,,,5,5.0,
R931383816054,,,,,,
R931253116053,,,,,,
C931253116052,,,,,,
X931412020027,,,,,,
V333218013124,,,,,,
D931325309031,,,,4,5.0,
V931101108067,,,,,,
H931101109051,,,,,,
V931252909047,,,,5,4.0,
R931100609011,,,,7,8.0,
L931383612038,,,,,,
C931325309038,,,,,,
Q931100609018,,,,,,
H931252209056,,,,,,
U931101008035,,,,,,
W931252109025,,,,,,
R931412017031,,,,6,6.0,
Q931100609020,,,,,,
N931100608064,,,,,,
F306200709087,,,,8,8.0,
X931252710015,,,,9,9.0,
F931100609041,,,,,,
R931101109037,,,,,,
F931235210018,,,,,,
T931252911047,,,,7,8.0,
H931321309010,,,,5,5.0,
F931252109004,,,,,,
M931252916068,,,,8,8.0,
Y931321110015,,,,,,
C373236909082,,,,,,
V931240110042,,,,7,7.0,
L931412020028,,,,7,7.0,
G931383410017,,,,,,
W931321009038,,,,,,
N931383610018,,,,,,
B931252109011,,,,,,
K931259808024,,,,,,
D316209709080,,,,,,
P931325208073,,,,,,
T931252910046,,,,,,
D931252710019,,,,,,
T931252110004,,,,5,5.0,
L931321113001,,,,8,8.0,
Z931383214002,,,,,,
W931383410018,,,,,,
M931321110016,,,,6,6.0,
N931252109001,,,,,,
K931325309006,,,,,,
U931383908031,,,,,,
Q931321008053,,,,5,5.0,
V931325309014,,,,,,
E931101109020,,,,,,
X931325208068,,,,,,
X931252108044,,,,,,
P931252710020,,,,,,
Y931325210014,,,,,,
K931325309035,,,,,,
Z931325309036,,,,,,
W931325309034,,,,,,
Q931101109046,,,,,,
M931321115023,,,,,,
Q931101109017,,,,6,6.0,
K931101108059,,,,,,
U931101109021,,,,,,
P931252108047,,,,,,
X886463320016,,,,,,
C931100609037,,,,,,
A931252108046,,,,,,
K931101109004,,,,,,
D931252109049,,,,,,
B931101108073,,,,,,
V931100509030,,,,,,
K931383410019,,,,,,
T931100609002,,,,6,6.0,
V931101109012,,,,,,
Y931100509032,,,,8,8.0,
U931253114004,,,,4,4.0,
X931252211041,,,,2,4.0,
W931101109032,,,,,,
T931321112004,,,,,,
Z931101109005,,,,,,
J931384210007,,,,3,3.0,
T931100609031,,,,,,
H931101008036,,,,8,7.0,
Q931252108040,,,,,,
F931100609012,,,,,,
U931321010010,,,,,,
W931100608061,,,,,,
J931101109013,,,,,,
M931252509029,,,,,,
Z931100609006,,,,5,6.0,
Y931412017035,,,,4,4.0,
B931235209044,,,,,,
B931325309020,,,,,,
C931253110015,,,,5,6.0,
R931100609009,,,,8,8.0,
Q931252909054,,,,,,
U931252110024,,,,,,
D931100609028,,,,,,
N931325209054,,,,,,
Y931325210043,,,,,,
F931252509025,,,,,,
W931101108060,,,,6,7.0,
N931240110007,,,,2,4.0,
T931100609029,,,,,,
W931252509017,,,,4,4.0,
U931325208066,,,,,,
A931252109020,,,,,,
M931321009023,,,,,,
M931235210024,,,,,,
N931101109035,,,,,,
G931100609032,,,,,,
A931252110030,,,,,,
J931101008027,,,,,,
L931101008038,,,,9,9.0,
K931412020037,,,,4,4.0,
U931101109048,,,,,,
X890362410035,,,,,,
Q931101008033,,,,,,
C931412020042,,,,,,
V931101109041,,,,,,
B931400418001,,,,3,3.0,
,,,,+0.69,,0.09
,,,,+0.69,,5.29
,,,,+0.69,1.07,0.09
,,,,+0.69,1.07,5.29
,,,,+0.69,6.23,0.09
,,,,+0.69,6.23,5.29
,,,,5.80,,0.09
,,,,5.80,,5.29
,,,,5.80,1.07,0.09
,,,,5.80,1.07,5.29
,,,,5.80,6.23,0.09
,,,,5.80,6.23,5.29
B931103108023,,,,,7.0,
Y931412021048,,,,,,
Female,0.0,0.0,0.0,,,
Female,97.0,35.31,41.0,,,5.0
Female,101.5,43.69,52.5,,,6.0
Female,100.5,42.03,49.0,,,5.0
Female,83.0,19.87,30.0,,,4.0
Female,106.0,51.95,56.0,,,6.0
Female,113.0,68.91,68.0,,,7.0
Female,94.5,32.46,39.0,,,5.0
Female,99.5,40.33,47.0,,,5.0
Female,103.0,45.79,52.5,,,6.0
Female,89.0,24.34,30.0,,,4.0
Female,111.0,63.85,68.0,,,7.0
Female,0.0,0.0,0.0,,,
Female,120.0,83.0,86.0,,,8.0
