upn,gender_ap2,english_literature_gcse_level_1/2_ap1,english_literature_gcse_level_1/2_ap2,english_literature_gcse_level_1/2_real
G936239910030,Male,5,6,6
L394201008038,Female,5,4,7
Y888201710013,Male,9,8,8
M888201710014,Male,8,8,9
D931252109051,Female,5,6,5
R928218115049,Female,4,5,5
Y931252508056,Male,3,2,4
M931321008051,Male,3,2,2
Q931325208064,Male,7,5,6
T931412020034,Female,8,8,7
H931325209012,Male,7,7,7
R931258916027,Male,5,6,8
Q931258910001,Male,2,3,2
C931101109007,Female,,5,4
M931325212046,Male,3,5,5
X931235209022,Male,4,5,5
L931252709035,Female,7,7,6
L931252508066,Female,4,3,4
C931252508049,Female,3,2,4
D931252714054,Male,5,5,6
Z931101108062,Male,2,2,2
N931101108063,Female,1,2,1
Y931100509003,Female,5,7,7
N931252909043,Male,4,4,4
A931383310001,Female,8,8,8
P931261209024,Male,1,1,1
V802229210007,Female,6,7,7
J888211710006,Female,5,6,5
C931101008023,Female,4,5,5
Q931252109012,Female,3,3,2
T931101109001,Female,U,,
M931100509004,Male,4,4,5
K931252509018,Female,,3,3
A931383810034,Male,6,5,5
D931100608056,Female,9,9,7
M931412019009,Male,2,3,4
M931100609016,Male,7,7,7
G931321110003,Male,7,7,8
C931316110004,Female,7,6,6
A931259308039,Female,3,3,3
J931101109042,Female,,,
U931258914007,Female,5,6,6
Q879418719002,Female,4,4,4
N931100609007,Male,7,7,7
G931383411018,Male,3,3,2
N931252508050,Male,3,3,3
F931252108061,Female,4,5,5
W931101109061,Female,6,8,6
B931412016036,Female,8,8,9
T931259308044,Male,U,,
A931383810005,Male,5,6,5
C931101109036,Female,2,2,3
B931252509032,Female,4,4,4
R931325310022,Female,7,8,6
P931318010017,Female,,,
E931252916073,Male,4,5,4
D931325308030,Male,4,4,5
G931101109060,Male,7,7,8
U931252114001,Female,4,5,4
N931325309008,Female,3,3,4
G931259509014,Female,9,8,5
X931325210023,Male,4,3,5
J931101108070,Female,7,7,7
V931252509026,Female,6,5,6
C931101108064,Male,2,,
V931414517045,Male,3,3,4
U931412020025,Male,5,4,5
D931101009015,Female,3,3,4
C931100609010,Female,5,4,4
N931412020041,Female,1,U,
K931100609063,Female,4,5,5
M931259308029,Male,1,3,2
M931252110020,Male,5,5,4
P931252109019,Male,5,4,5
A380404117005,Female,5,5,6
V931252111045,Male,3,5,5
D931383810007,Female,4,6,5
Y931101108071,Male,,,
P825200110001,Female,,,
H931100509009,Female,3,5,6
L931101109024,Male,3,2,3
B931259309004,Male,3,3,U
N931253409013,Male,3,3,2
W931252715060,Male,,,
M931252909052,Female,6,6,6
Y931321610021,Male,6,6,6
H931252109073,Female,6,6,5
T931252108049,Male,2,6,5
V931252710004,Female,7,8,7
Q931252907052,Female,5,5,5
M931321610022,Female,,8,8
G931321110032,Female,9,9,9
W931321110033,Female,9,9,9
E931100609021,Female,7,7,5
C673336808019,Female,9,9,9
V931412017033,Female,6,5,5
T931383615020,Female,2,3,5
