upn,fsm_real,sen_real,pp_real,eal_real,ethnicity_code_real,english_literature_ap1,english_literature_ap2,english_literature_real
U931235711035,F,N,F,T,oara,4,5,6
G931252911050,T,N,T,T,bafr,5,4,5
H931101110003,F,N,T,T,aban,4,5,5
N931252711030,F,K,F,F,wbri,3,4,3
E931412020024,F,N,F,T,aind,4,7,6
G931412020006,F,N,F,F,woth,6,5,6
G931252517035,F,N,F,T,ooth,3,4,2
C931240111011,F,N,F,F,apkn,5,6,5
Z931253110042,F,N,F,T,aban,3,4,7
M931321611023,F,N,F,T,wbri,2,5,5
Y931321611022,F,N,F,F,wbri,5,6,5
Q931100610001,F,N,F,F,aoth,4,5,4
D931201515052,T,N,T,T,ooth,3,4,3
K931321611012,T,K,T,F,mwbc,8,8,9
L931252112002,F,N,F,T,ooth,5,5,5
B931235210054,F,N,F,T,aoth,5,6,6
W931412020007,F,N,F,F,wbri,4,4,6
P931101110007,F,K,F,F,wbri,U,U,
P931325310038,F,K,F,F,mwbc,2,2,2
E931252510015,T,N,T,F,wbri,3,4,3
A931252509041,F,N,F,F,apkn,2,U,3
W382206709086,T,K,T,T,apkn,3,2,1
C931252110012,F,N,F,T,aoth,6,8,9
Z931100510004,F,N,F,F,apkn,5,6,5
T313201310021,F,N,F,F,bafr,3,6,5
F931321311008,F,N,F,F,wbri,5,5,6
T931101110009,F,N,F,T,aind,5,6,6
Z931102210003,F,N,F,F,wbri,7,7,7
A931383612039,F,N,F,T,aoth,5,6,5
Q931252111023,T,N,T,F,nobt,U,2,U
J931252110016,,,,,,U,U,
H931383811003,F,N,F,T,refu,8,6,7
K931321111006,F,N,F,F,wbri,2,3,3
E931252111024,F,N,F,F,wbri,3,5,4
N931252110011,T,K,T,F,wbri,5,5,7
H931383611006,T,E,T,F,wbri,U,,
D825303112031,F,N,F,F,moth,3,4,4
V931252710033,F,K,F,F,wbri,1,U,X
X931100610005,F,N,F,F,wbri,6,7,5
M931252711010,F,N,F,F,wbri,5,6,6
V931259309056,F,N,T,F,wbri,3,4,2
Z931101010003,T,N,T,F,wbri,2,3,4
T931101110011,T,E,T,F,mwbc,U,U,X
Y931412021019,F,N,F,T,ooth,2,1,2
V931252110015,F,N,F,F,refu,8,8,9
H931240111024,F,N,F,F,wbri,6,7,5
A319204711002,F,N,F,F,aind,4,4,4
E931254309074,F,E,F,F,mwas,3,2,1
C931325212009,,,,,,3,2,
V931101010010,F,N,F,T,aind,6,6,5
X931383611007,F,N,F,F,woth,7,8,6
W931252110006,T,N,T,F,wbri,3,2,2
D931383811010,F,N,F,F,wbri,7,7,6
P931252110031,F,K,F,F,wbri,U,,
E931100609050,F,N,F,F,wbri,6,7,5
W931325310015,T,N,T,F,mwbc,5,6,6
D931325310012,F,N,F,F,wbri,5,3,4
B931252510042,F,N,F,T,aoth,3,4,5
P931258912012,F,N,F,T,woth,5,5,7
U931100609049,F,N,F,F,wbri,6,5,5
P931412018019,F,N,F,T,ooth,2,3,2
F931100510010,F,N,F,F,wbri,5,6,5
U931235211060,F,N,F,F,wbri,7,7,7
