upn,gender_ap2,french_language_gcse_level_1/2_ap1,french_language_gcse_level_1/2_ap2,french_language_gcse_level_1/2_real
G936239910030,Male,,,
L394201008038,Female,4.0,5.0,3
Y888201710013,Male,9.0,8.0,9
M888201710014,Male,,,
D931252109051,Female,,,
R928218115049,Female,,,
Y931252508056,Male,,,
M931321008051,Male,,,
Q931325208064,Male,,,
T931412020034,Female,9.0,8.0,9
H931325209012,Male,7.0,6.0,7
R931258916027,Male,,,
Q931258910001,Male,,,
C931101109007,Female,,,
M931325212046,Male,,,
X931235209022,Male,,,
L931252709035,Female,,,
L931252508066,Female,,,
C931252508049,Female,2.0,2.0,2
D931252714054,Male,,,
Z931101108062,Male,,,
N931101108063,Female,,,
Y931100509003,Female,,,
N931252909043,Male,,,
A931383310001,Female,,,
P931261209024,Male,,,
V802229210007,Female,5.0,5.0,5
J888211710006,Female,,,
C931101008023,Female,,,
Q931252109012,Female,,,
T931101109001,Female,,,
M931100509004,Male,,,
K931252509018,Female,,,
A931383810034,Male,,,
D931100608056,Female,8.0,8.0,9
M931412019009,Male,,,
M931100609016,Male,7.0,7.0,6
G931321110003,Male,,,
C931316110004,Female,,,
A931259308039,Female,,,
J931101109042,Female,,,
U931258914007,Female,,,
Q879418719002,Female,,,
N931100609007,Male,7.0,7.0,7
G931383411018,Male,,,
N931252508050,Male,,,
F931252108061,Female,,,
W931101109061,Female,,,
B931412016036,Female,,,
T931259308044,Male,,,
A931383810005,Male,,,
C931101109036,Female,,,
B931252509032,Female,3.0,2.0,3
R931325310022,Female,,,
P931318010017,Female,,,
E931252916073,Male,3.0,3.0,3
D931325308030,Male,,,
G931101109060,Male,7.0,6.0,5
U931252114001,Female,,,
N931325309008,Female,,,
G931259509014,Female,,,
X931325210023,Male,,,
J931101108070,Female,,,
V931252509026,Female,,,
C931101108064,Male,,,
V931414517045,Male,4.0,,3
U931412020025,Male,,,
D931101009015,Female,,,
C931100609010,Female,,,
N931412020041,Female,9.0,8.0,9
K931100609063,Female,4.0,3.0,3
M931259308029,Male,,,
M931252110020,Male,,,
P931252109019,Male,,,
A380404117005,Female,,,
V931252111045,Male,,,
D931383810007,Female,,,
Y931101108071,Male,,,
P825200110001,Female,,,
H931100509009,Female,,,
L931101109024,Male,,,
B931259309004,Male,,,
N931253409013,Male,,,
W931252715060,Male,,,
M931252909052,Female,5.0,5.0,5
Y931321610021,Male,,,
H931252109073,Female,,,
T931252108049,Male,,,
V931252710004,Female,,,
Q931252907052,Female,,,
M931321610022,Female,,,
G931321110032,Female,,,
W931321110033,Female,9.0,9.0,9
E931100609021,Female,,,
C673336808019,Female,,,
V931412017033,Female,,,
T931383615020,Female,7.0,7.0,7
H886247410029,Male,,,
K931252509020,Male,,,
L931252909059,Female,,,
W931252111065,Male,,,
M931252710007,Male,8.0,8.0,8
L931412020030,Male,,,
V931321008075,Female,,,
U931325209009,Female,5.0,5.0,6
D931100609030,Female,,,
P931383310002,Female,,,
Z931325309007,Female,,,
W931235209029,Male,,,
Q931235212001,Male,8.0,8.0,7
F931321308025,Female,,,
R931252710029,Female,,,
H931100509011,Female,7.0,7.0,9
W310350110023,Female,,,
G931321113006,Male,,,
B931100609017,Female,,,
Y931252509028,Male,,,
Q931253109015,Male,,,
L931100509013,Male,,,
A931252509012,Female,,,
Y931321309029,Male,4.0,4.0,5
Z931412020040,Female,,,
P931101109055,Male,,,
D931325208074,Female,,,
W931254310067,Female,,,
T887690719015,Female,,,
Y931252211003,Male,5.0,5.0,5
K931252910051,Male,,,
J931101109071,Female,5.0,5.0,5
F931100509027,Female,2.0,1.0,1
W391377809016,Male,,,
Z931254309090,Female,,,
B931252110021,Male,,,
A931100509014,Female,,,
W931321310001,Female,,,
B931252710010,Female,,,
C931321610014,Male,8.0,8.0,8
U931101109019,Male,4.0,4.0,4
B931383814058,Female,7.0,7.0,8
Q931202016013,Male,,,
