upn,gender_ap2,fsm_real,sen_real,pp_real,eal_real,ethnicity_code_real,geography_ap1,geography_ap2,geography_real
A931325205040,Male,F,N,F,F,apkn,,,
C931101105003,Male,F,N,F,F,apkn,,,
Y931253105006,Male,F,N,F,F,apkn,,,
N866219406001,Female,F,N,F,F,apkn,3.0,3.0,3.0
M931100506001,Female,F,N,F,F,mwbc,,,
P931235206051,Male,F,N,F,F,aind,,,
Q931253105011,Male,F,N,F,F,aban,,1.0,
H931252504029,Female,T,K,T,F,aban,,,
R373342905015,Male,F,N,T,F,bafr,,,
C931252504045,Female,F,N,T,F,bafr,,,
M931412014033,Female,F,N,F,F,ooth,,,
W931412017024,,,,,,,,,
R931254305029,Female,F,N,F,F,aind,,,
G931100504042,Male,F,N,F,F,apkn,,,
L212340805002,Female,F,N,F,F,bafr,,,
Z931258705034,Female,T,N,T,F,wbri,,,
V931101105006,Male,F,N,F,F,apkn,,,
Z931100604030,Male,F,N,F,F,wbri,,,
G931321004059,Female,F,N,F,F,aban,,,
Y931412014003,Female,F,N,F,F,woth,,,
G931252105018,Male,F,N,F,F,aoth,,,
W931252105019,Female,F,N,F,F,aban,,,
B888211708027,Female,F,N,F,F,aban,,,
Q931235205039,Female,F,N,T,F,aban,,,
E931412015008,Male,F,N,F,F,aind,3.0,6.0,4.0
W931383208041,Male,F,K,F,F,woth,,,
P931100505009,Male,F,K,F,F,wbri,,,
X931101105046,Male,F,K,F,F,wbri,,,
X931220205003,Female,F,N,T,F,wbri,,,
U931252104036,Male,F,N,F,F,wbri,,,
A931252104042,Female,T,N,T,F,wbri,,,
F931101106035,,,,,,,,,
G931252105020,Male,T,K,T,F,wbri,,,
J931240106001,Male,F,K,F,F,wbri,,,
W931252105021,Male,T,K,T,F,wbri,,,
P931101005010,Female,F,N,F,F,wbri,6.0,8.0,8.0
J931412015003,Male,F,N,F,F,aind,,,
J931325305038,Female,F,N,T,F,wbri,,,
G931254305023,Male,F,N,T,F,wbri,2.0,3.0,2.0
B931321606008,Female,F,N,T,F,mwbc,,,
N931259305017,Female,T,K,T,F,wbri,,,
N931252510061,Male,F,N,T,F,bafr,,,
C931252204036,Female,F,N,T,F,apkn,,,
U931253105013,Female,F,K,F,F,wbri,,,
X931252107072,Male,F,K,F,F,mwbc,3.0,2.0,2.0
F931100605006,Male,F,N,F,F,wbri,,,
G931235706002,Male,F,K,T,F,wbri,3.0,3.0,2.0
C931101105059,Female,F,N,T,F,wbri,,,
V931325306009,Male,F,N,F,F,wbri,,,
R931325309039,Female,F,N,F,F,aoth,,,
M931101105011,Female,F,K,T,F,wbri,,,
B931412017010,Male,F,N,F,F,aoth,,,
A931100604050,Female,F,N,F,F,moth,,,
X931101105017,Male,F,N,F,F,wbri,,,
T931100605054,Male,F,N,F,F,wbri,,,
X931100606019,Female,F,K,T,F,mwbc,,,
J931101105036,Male,F,N,F,F,wbri,,,
R931100505051,Male,F,N,F,F,ooth,,,
N670201205017,Male,T,N,T,F,bafr,,,
Z931100606032,Male,F,N,F,F,wbri,,,
P931252706005,Male,F,N,F,F,ooth,,,
W885291406002,Female,T,N,T,F,wbri,,,
F931325306010,Female,F,N,T,F,bafr,,,
K931100605030,Male,F,N,F,F,bafr,,,
