upn,rm_scaled_score_real,estimate_real,actual_real,ict_btec_ap1,ict_btec_ap2,ict_btec_real
G936239910030,,,,,,
L394201008038,,,,,,
Y888201710013,,,,,,
M888201710014,,,,,,
D931252109051,,,,,,
R928218115049,,,,,,
Y931252508056,,,,,,
M931321008051,,,,P1,P1,
Q931325208064,,,,,,
T931412020034,,,,,,
H931325209012,,,,,,
R931258916027,,,,,,
Q931258910001,,,,,,
C931101109007,,,,,,
M931325212046,,,,,,
X931235209022,,,,,,
L931252709035,,,,,,
L931252508066,,,,,,
C931252508049,,,,,,
D931252714054,,,,P2,M2,
Z931101108062,,,,,,
N931101108063,,,,,,
Y931100509003,,,,,,
N931252909043,,,,,,
A931383310001,,,,,,
P931261209024,,,,,,
V802229210007,,,,,,
J888211710006,,,,,,
C931101008023,,,,P1,P1,
Q931252109012,,,,,,
T931101109001,,,,,,
M931100509004,,,,,,
K931252509018,,,,P1,P1,
A931383810034,,,,,,
D931100608056,,,,,,
M931412019009,,,,,,
M931100609016,,,,,,
G931321110003,,,,D2,D1,
C931316110004,,,,,,
A931259308039,,,,P1,P1,
J931101109042,,,,,,
U931258914007,,,,,,
Q879418719002,,,,,,
N931100609007,,,,,,
G931383411018,,,,,,
N931252508050,,,,U,P1,
F931252108061,,,,,,
W931101109061,,,,,,
B931412016036,,,,,,
T931259308044,,,,,,
A931383810005,,,,,,
C931101109036,,,,,,
B931252509032,,,,,,
R931325310022,,,,,,
P931318010017,,,,,,
E931252916073,,,,P2,P2,
D931325308030,,,,P1,P1,
G931101109060,,,,,,
U931252114001,,,,,,
N931325309008,,,,,,
G931259509014,,,,,,
X931325210023,,,,M2,M2,
J931101108070,,,,,,
V931252509026,,,,,,
C931101108064,,,,,,
V931414517045,,,,,,
U931412020025,,,,,,
D931101009015,,,,,,
C931100609010,,,,,,
N931412020041,,,,,,
K931100609063,,,,,,
M931259308029,,,,,,
M931252110020,,,,,,
P931252109019,,,,,,
A380404117005,,,,,,
V931252111045,,,,,,
D931383810007,,,,,,
Y931101108071,,,,,,
P825200110001,,,,,,
H931100509009,,,,,,
L931101109024,,,,,,
B931259309004,,,,P1,M1,
N931253409013,,,,,,
W931252715060,,,,,,
M931252909052,,,,,,
Y931321610021,,,,,,
H931252109073,,,,,,
T931252108049,,,,,,
V931252710004,,,,,,
Q931252907052,,,,,,
M931321610022,,,,,,
G931321110032,,,,,,
W931321110033,,,,,,
E931100609021,,,,,,
C673336808019,,,,,,
V931412017033,,,,,,
T931383615020,,,,M2,M2,
H886247410029,,,,,,
K931252509020,,,,P2,P2,
L931252909059,,,,,,
W931252111065,,,,M1,P2,
M931252710007,,,,,,
L931412020030,,,,,,
V931321008075,,,,P1,M1,
U931325209009,,,,,,
D931100609030,,,,,,
P931383310002,,,,,,
Z931325309007,,,,,,
W931235209029,,,,M2,M2,
Q931235212001,,,,,,
F931321308025,,,,,,
R931252710029,,,,,,
H931100509011,,,,,,
W310350110023,,,,,,
G931321113006,,,,,,
B931100609017,,,,,,
Y931252509028,,,,P2,P2,
Q931253109015,,,,,,
L931100509013,,,,,,
A931252509012,,,,,,
Y931321309029,,,,,,
Z931412020040,,,,,,
P931101109055,,,,,,
D931325208074,,,,,,
W931254310067,,,,,,
T887690719015,,,,,,
Y931252211003,,,,,,
K931252910051,,,,M1,P2,
J931101109071,,,,,,
F931100509027,,,,,,
W391377809016,,,,P1,P1,
Z931254309090,,,,,,
B931252110021,,,,,,
A931100509014,,,,,,
W931321310001,,,,,,
B931252710010,,,,,,
C931321610014,,,,,,
U931101109019,,,,,,
B931383814058,,,,,,
Q931202016013,,,,,,
T931412018023,,,,,,
T931252509015,,,,M1,P1,
R931321009045,,,,,,
Q931325810006,,,,,,
N304350709089,,,,,,
U931252710013,,,,,,
H931252710014,,,,,,
R931383816054,,,,,,
R931253116053,,,,,,
C931253116052,,,,,,
X931412020027,,,,,,
V333218013124,,,,,,
D931325309031,,,,,,
V931101108067,,,,,,
H931101109051,,,,,,
V931252909047,,,,,,
R931100609011,,,,,,
L931383612038,,,,P2,P2,
C931325309038,,,,,,
Q931100609018,,,,,,
H931252209056,,,,,,
U931101008035,,,,,,
W931252109025,,,,,,
R931412017031,,,,,,
Q931100609020,,,,,,
N931100608064,,,,,,
F306200709087,,,,,,
X931252710015,,,,,,
F931100609041,,,,,,
R931101109037,,,,M2,M2,
F931235210018,,,,,,
T931252911047,,,,,,
H931321309010,,,,,,
F931252109004,,,,,,
M931252916068,,,,M1,P2,
Y931321110015,,,,,,
C373236909082,,,,,,
V931240110042,,,,,,
L931412020028,,,,,,
G931383410017,,,,,,
W931321009038,,,,,,
N931383610018,,,,,,
B931252109011,,,,M2,M2,
K931259808024,,,,,,
D316209709080,,,,P1,P1,
P931325208073,,,,M2,M2,
T931252910046,,,,,,
D931252710019,,,,,,
T931252110004,,,,,,
L931321113001,,,,,,
Z931383214002,,,,,,
W931383410018,,,,,,
M931321110016,,,,,,
N931252109001,,,,,,
K931325309006,,,,M1,P2,
U931383908031,,,,,,
Q931321008053,,,,,,
V931325309014,,,,,,
E931101109020,,,,,,
X931325208068,,,,,,
X931252108044,,,,,,
P931252710020,,,,,,
Y931325210014,,,,,,
K931325309035,,,,,,
Z931325309036,,,,P2,P1,
W931325309034,,,,,,
Q931101109046,,,,,,
M931321115023,,,,M1,M1,
Q931101109017,,,,,,
K931101108059,,,,,,
U931101109021,,,,,,
P931252108047,,,,,,
X886463320016,,,,M2,D2,
C931100609037,,,,P1,P1,
A931252108046,,,,,,
K931101109004,,,,,,
D931252109049,,,,,,
B931101108073,,,,,,
V931100509030,,,,,,
K931383410019,,,,,,
T931100609002,,,,,,
V931101109012,,,,M1,M1,
Y931100509032,,,,,,
U931253114004,,,,,,
X931252211041,,,,,,
W931101109032,,,,,,
T931321112004,,,,,,
Z931101109005,,,,,,
J931384210007,,,,,,
T931100609031,,,,,,
H931101008036,,,,,,
Q931252108040,,,,,,
F931100609012,,,,,,
U931321010010,,,,,,
W931100608061,,,,,,
J931101109013,,,,,,
M931252509029,,,,,,
Z931100609006,,,,,,
Y931412017035,,,,,,
B931235209044,,,,,,
B931325309020,,,,P2,P2,
C931253110015,,,,,,
R931100609009,,,,,,
Q931252909054,,,,,,
U931252110024,,,,,,
D931100609028,,,,,,
N931325209054,,,,,,
Y931325210043,,,,,,
F931252509025,,,,P2,P2,
W931101108060,,,,,,
N931240110007,,,,,,
T931100609029,,,,,,
W931252509017,,,,,,
U931325208066,,,,,,
A931252109020,,,,,,
M931321009023,,,,,,
M931235210024,,,,P2,P1,
N931101109035,,,,,,
G931100609032,,,,,,
A931252110030,,,,,,
J931101008027,,,,,,
L931101008038,,,,,,
K931412020037,,,,,,
U931101109048,,,,,,
X890362410035,,,,,,
Q931101008033,,,,,,
C931412020042,,,,,,
V931101109041,,,,,,
B931400418001,,,,,,
,,,,-1.57,,-1.39
,,,,-1.57,,3.81
