upn,gender_ap2,fsm_real,sen_real,pp_real,eal_real,maths_gcse_level_1/2_ap1,maths_gcse_level_1/2_ap2,maths_gcse_level_1/2_real
U931235711035,Female,F,N,F,T,5,5,4
G931252911050,Female,T,N,T,T,6,5,5
H931101110003,Male,F,N,T,T,7,6,7
N931252711030,Female,F,K,F,F,6,6,5
E931412020024,Male,F,N,F,T,8,8,8
G931412020006,Male,F,N,F,F,6,6,8
G931252517035,Male,F,N,F,T,4,5,4
C931240111011,Female,F,N,F,F,6,5,6
Z931253110042,Male,F,N,F,T,6,5,6
M931321611023,Female,F,N,F,T,3,3,4
Y931321611022,Male,F,N,F,F,8,8,8
Q931100610001,Male,F,N,F,F,5,4,3
D931201515052,Female,T,N,T,T,2,2,2
K931321611012,Male,T,K,T,F,6,5,5
L931252112002,Female,F,N,F,T,6,5,5
B931235210054,Male,F,N,F,T,5,5,5
W931412020007,Female,F,N,F,F,2,3,4
P931101110007,Male,F,K,F,F,U,U,
P931325310038,Male,F,K,F,F,4,3,4
E931252510015,Female,T,N,T,F,3,3,2
A931252509041,Female,F,N,F,F,U,U,3
W382206709086,Male,T,K,T,T,1,U,1
C931252110012,Male,F,N,F,T,8,8,9
Z931100510004,Female,F,N,F,F,8,7,7
T313201310021,Female,F,N,F,F,3,5,3
F931321311008,Female,F,N,F,F,6,5,6
T931101110009,Female,F,N,F,T,7,6,6
Z931102210003,Female,F,N,F,F,3,5,4
A931383612039,Female,F,N,F,T,4,5,6
Q931252111023,Male,T,N,T,F,2,1,U
J931252110016,Male,,,,,U,U,
H931383811003,Male,F,N,F,T,8,8,9
K931321111006,Male,F,N,F,F,5,5,4
E931252111024,Female,F,N,F,F,4,3,4
N931252110011,Male,T,K,T,F,5,5,6
H931383611006,Male,T,E,T,F,,3,3
D825303112031,Female,F,N,F,F,4,5,5
V931252710033,Male,F,K,F,F,8,8,8
X931100610005,Female,F,N,F,F,7,7,7
M931252711010,Male,F,N,F,F,6,5,6
V931259309056,Female,F,N,T,F,3,3,3
Z931101010003,Male,T,N,T,F,5,4,4
T931101110011,Male,T,E,T,F,1,U,X
Y931412021019,Male,F,N,F,T,2,2,1
V931252110015,Female,F,N,F,F,8,8,8
H931240111024,Male,F,N,F,F,7,6,5
A319204711002,Male,F,N,F,F,5,5,4
E931254309074,Male,F,E,F,F,3,U,2
C931325212009,Male,,,,,4,3,
V931101010010,Female,F,N,F,T,7,7,8
X931383611007,Female,F,N,F,F,4,4,4
W931252110006,Male,T,N,T,F,5,5,4
D931383811010,Female,F,N,F,F,6,7,6
P931252110031,Male,F,K,F,F,,,
E931100609050,Male,F,N,F,F,8,8,8
W931325310015,Male,T,N,T,F,6,6,6
D931325310012,Female,F,N,F,F,5,5,4
B931252510042,Male,F,N,F,T,5,5,4
P931258912012,Male,F,N,F,T,8,8,9
U931100609049,Male,F,N,F,F,7,6,7
P931412018019,Male,F,N,F,T,2,2,1
F931100510010,Male,F,N,F,F,5,6,6
U931235211060,Female,F,N,F,F,7,7,7
A931383611011,Male,,,,,,,
F931252711004,Male,F,N,F,F,6,5,6
Z931252110037,Female,F,N,F,F,4,3,2
C931321111011,Female,F,E,F,F,3,2,1
E931240111051,Female,F,N,F,T,4,3,3
W931383811013,Male,F,N,F,F,5,4,4
W931252511001,Male,F,N,F,F,8,8,9
R931321111012,Male,F,N,F,F,8,8,9
L931252510019,Male,F,N,F,T,5,5,5
W931252111036,Female,T,N,T,T,5,5,4
Y203224211066,Female,F,N,F,F,5,5,5
C931252509052,Male,T,N,T,T,7,7,8
D931205815046,Male,F,N,F,F,9,9,9
V931240111014,Female,F,N,F,T,7,8,8
R931101109066,Male,F,N,F,T,7,7,7
Z931383811015,Male,F,N,F,F,8,8,9
J931252711006,Female,F,N,F,F,9,8,9
A931383611038,Female,F,N,F,F,6,7,8
Z931412020011,Male,F,N,F,F,7,6,6
Q931100609076,Male,F,N,F,F,6,6,6
H931383411009,Male,F,N,F,F,7,8,9
K931412020008,Male,F,N,F,T,3,3,2
T931252111034,Male,T,N,T,F,5,5,4
M931100510014,Male,F,N,F,F,5,5,4
M931252109066,Female,F,N,T,F,2,2,1
P931100610010,Male,F,N,F,F,5,6,6
D931100610009,Female,F,N,F,F,8,7,7
X931252714050,Female,F,N,F,T,5,5,4
M931252711008,Male,F,N,F,F,6,5,5
E931324311001,Male,F,N,T,F,4,4,4
U931412022027,Male,F,N,F,T,5,6,6
T931414519094,Male,T,N,T,T,3,3,2
K931101110014,Female,T,K,T,F,5,5,4
Z931101110015,Male,F,K,F,F,4,4,4
E931252711013,Male,F,N,F,F,8,7,7
H931252716051,Male,T,N,T,F,3,2,3
F931321611017,Female,F,N,F,F,U,U,X
T931100610012,Male,F,N,F,F,7,7,7
F931101109067,Male,F,N,F,T,7,6,7
J931261211022,Male,F,K,F,F,5,5,5
B931100609075,Male,F,N,F,T,7,7,8
V931100609071,Female,F,N,F,F,5,5,5
F931101110019,Female,T,N,T,F,3,2,2
N211237810008,Female,T,N,T,T,7,6,7
K931252511002,Male,F,N,F,T,3,5,4
W210350812010,Female,F,N,T,F,4,3,3
Q931252109070,Female,F,N,F,T,5,6,5
X931100609053,Male,F,N,F,F,9,9,9
V931253909052,Male,T,N,T,F,8,8,8
Y931321111016,Male,F,N,F,F,7,7,7
W931100610014,Female,T,N,T,F,5,5,5
D931321113004,Female,F,N,F,F,8,8,8
X931259310019,Male,T,K,T,F,4,4,3
J931321010029,Male,,,,,,,
F931100511011,Female,F,N,F,F,9,8,9
V931321611018,Female,F,N,T,F,5,4,3
K931412018026,Female,F,N,F,T,6,6,7
E931100609077,Female,F,N,F,F,5,5,5
B931100610027,Male,F,K,F,F,5,5,4
R931254310045,Male,,,,,U,U,
U931252509035,Male,T,N,T,T,5,4,3
R330213814100,Female,T,N,T,T,5,4,4
N931383611019,Male,F,N,F,F,5,4,5
Z931259310003,Female,F,N,T,F,5,5,5
E931412022026,Female,F,N,F,F,6,6,6
N931325310018,Female,T,K,T,F,5,4,5
Q931414519083,Male,F,N,F,T,3,3,3
G355350409042,Female,F,N,F,T,6,4,5
P931252111032,Female,F,K,F,T,5,4,4
N931100610017,Female,F,N,F,F,4,4,4
M931101109073,Female,,,,,U,U,
C931100610020,Male,F,K,F,F,3,4,3
U931259309065,Male,F,K,F,F,5,5,5
T931252517034,Female,F,N,F,T,6,5,6
W931260609100,Male,F,N,F,T,6,6,6
R931383210028,Male,T,E,T,F,2,2,1
L931100510023,Female,F,N,F,F,9,9,9
Y931261210051,Female,T,K,T,F,1,1,1
R931252110013,Male,F,N,F,F,1,U,1
M931101110025,Male,T,N,T,F,4,5,3
Y931252111018,Male,F,N,F,F,5,4,4
C931383611022,Male,F,N,F,F,4,4,3
T931252110062,Male,T,K,T,F,,4,5
N931412020012,Female,F,N,F,F,5,5,5
C931321009073,Male,F,N,T,T,5,4,4
R931325310051,Female,F,K,T,T,1,U,U
F931100610051,Male,F,K,F,T,5,5,5
Z931412021041,Male,T,N,T,T,6,5,6
G931412019025,Male,F,N,F,F,8,8,8
H878261811006,Male,T,K,T,F,2,1,1
L931321611032,Male,F,K,F,F,5,4,4
P931100510025,Female,F,N,F,F,8,8,8
L931260610077,Male,,,,,U,U,
B931383411005,Female,F,N,F,F,5,5,5
R931412022016,Male,F,N,F,F,6,5,5
V931412021046,Male,F,N,F,T,5,4,3
W931100510031,Male,F,E,F,F,2,2,2
Z931321012025,Female,F,N,F,F,5,4,5
L931252111030,Female,F,N,F,F,2,2,2
E931101110028,Male,F,N,F,T,4,4,4
A931252111031,Male,,,,,U,U,
U931101110029,Female,T,N,T,F,4,4,3
P931386115052,Male,F,K,T,F,2,2,2
B931101010014,Male,F,N,F,F,8,6,7
W931321011051,Male,F,N,F,F,2,1,1
Y931325209062,Female,F,N,F,F,4,4,3
G931252110005,Male,T,K,T,F,,,
N931383311012,Male,F,N,F,F,5,5,4
H931258911005,Male,F,K,F,F,2,2,2
C931321310005,Male,T,K,T,F,,3,3
Z203222811011,Male,F,N,F,F,5,4,4
A931252711018,Male,T,K,T,F,1,1,1
Q931101010015,Female,T,N,T,F,4,4,4
L931411618003,Male,F,N,F,T,6,7,7
H931253110030,Male,T,N,T,F,3,4,4
Q931100610030,Female,F,N,F,F,7,7,8
E931414520036,Female,F,N,F,F,5,5,5
B931412019012,Female,T,N,T,F,9,8,7
K931100510032,Male,F,N,F,T,4,4,3
Z931321113009,Female,F,N,F,F,7,7,7
V931100610023,Female,F,N,F,F,3,4,3
H931252911041,Male,F,N,F,F,7,7,7
T931254310007,Male,F,N,F,T,4,4,3
F931259310036,Female,T,N,T,T,5,5,4
C931100509054,Male,F,K,F,F,3,4,4
A931101110035,Female,F,N,F,F,4,5,4
W931201516056,Female,T,N,T,T,3,1,2
J931321010031,Male,F,N,F,T,5,5,5
X931261211032,Male,F,N,F,F,4,4,4
N931253911030,Female,F,N,F,T,8,6,7
G931252113008,Female,F,N,F,T,4,4,3
E931101110057,Female,T,N,T,T,5,5,6
J931383811023,Male,F,N,F,F,8,8,9
E931258911003,Male,T,N,T,F,5,5,6
M931383611001,Female,F,N,F,F,8,9,9
M931383811025,Male,F,N,F,F,5,5,5
D931259309044,Male,F,N,F,T,U,U,U
J931252911003,Male,F,N,F,T,5,5,5
D931101110037,Male,F,N,F,F,6,5,6
R931325210037,Female,F,N,F,F,5,5,5
H931100610033,Female,F,N,F,F,5,5,5
A931252111029,Female,F,N,F,F,4,4,4
T931101110038,Female,F,N,F,F,4,4,2
G931383614018,Female,F,N,F,F,5,2,3
L302202811022,Female,F,K,F,F,5,4,4
A931321611004,Female,F,N,F,F,5,4,4
Y931100610025,Male,F,K,F,F,9,8,9
F931412020044,Female,F,N,F,F,5,4,4
E931100609048,Male,F,N,F,F,8,7,8
K931253909044,Female,F,N,T,F,4,4,3
M931321010033,Male,T,K,T,F,3,3,2
Q931412022025,Female,F,N,F,T,3,4,5
R211255710009,Male,F,N,T,T,6,6,6
Z316209709137,Female,F,N,F,T,5,5,5
A931412020031,Female,F,N,F,T,7,7,7
H931412022028,Female,F,N,F,T,2,5,
