upn,gender_ap2,fsm_real,sen_real,pp_real,eal_real,ethnicity_code_real,physics_ap1,physics_ap2,physics_real
P331215507023,Female,T,N,T,F,bafr,,,
E931252107011,Male,F,N,F,F,both,,,
G931101105054,Male,F,N,F,F,apkn,6.0,7,7
C330217306007,Female,T,N,T,F,apkn,7.0,7,7
D931100605053,Female,F,N,F,F,apkn,,,
L931316507001,Male,F,N,F,F,apkn,6.0,6,6
B931321006021,Male,F,N,F,F,aban,,,
W931101006015,Female,F,N,F,F,woth,5.0,5,5
Y317207106043,Male,F,N,F,F,aban,,,
B931101006030,Female,F,N,F,F,aban,,,
T931252505038,Male,F,N,F,F,apkn,,,
T931253906007,Male,F,N,F,F,nobt,,,
E931384213046,Female,F,N,F,F,wbri,,,
E931384213046,Female,F,N,F,F,wbri,,,
E931384213046,Female,F,N,F,F,wbri,,,
E931384213046,Female,F,N,F,F,wbri,,,
E931384213046,Female,F,N,F,F,wbri,,,
E931384213046,Female,F,N,F,F,wbri,,,
E931384213046,Female,F,N,F,F,wbri,,,
E931384213046,Female,F,N,F,F,wbri,,,
L931252707004,Male,F,K,F,F,wbri,8.0,9,9
Z931100506018,Female,F,N,F,F,apkn,,,
B931100606014,Male,F,N,F,F,wbri,,,
K931101106001,Male,F,N,F,F,weng,7.0,5,5
L931101106048,Female,F,K,F,F,aind,,,
R931325307010,Female,F,N,F,F,aind,,,
R931101106034,Male,F,N,T,F,both,,,
,Male,F,N,F,F,nobt,,,
,Male,F,N,F,F,nobt,,,
,Female,F,N,F,F,nobt,,,
,Female,F,N,F,F,nobt,,,
,Male,F,N,F,F,nobt,,,
,Male,F,N,F,F,nobt,,,
,Female,F,N,F,F,nobt,,,
,Female,F,N,F,F,nobt,,,
M931100605068,Male,F,N,F,F,wbri,9.0,8,8
B931100605069,Male,F,N,F,F,wbri,9.0,9,9
R671331305009,Female,F,N,F,F,aoth,5.0,3,3
D931412018022,Female,F,N,F,F,mwba,,,
C931100605033,Male,F,N,F,F,wbri,9.0,8,8
H931101106017,Female,T,N,T,F,wbri,5.0,5,5
V931252107003,Female,F,N,T,F,mwbc,,,
G931100606027,Female,F,N,F,F,apkn,8.0,8,8
X931101006006,Female,F,N,F,F,woth,8.0,8,8
L931101006007,Male,F,N,F,F,woth,7.0,6,6
J931412016033,Female,F,N,T,F,bcrb,,,
A931254306020,Female,F,N,F,F,wbri,8.0,6,6
L931101005035,Female,F,N,T,F,moth,,,
D931259306070,Female,T,N,T,F,mwbc,,,
N931261207031,Male,T,N,T,F,wbri,,,
H931412014009,Male,F,N,F,F,woth,,,
Y931100605040,Female,F,N,F,F,wbri,,,
H931252106039,Female,F,N,T,F,wbri,,,
P931254306019,Male,F,N,T,F,wbri,,,
W931101106027,Male,F,N,F,F,wbri,6.0,6,6
U931100606017,Female,F,N,F,F,wbri,,,
R931252107001,Female,F,N,T,F,wbri,,,
M931101106012,Female,F,N,T,F,wbri,,,
X931100606048,Male,F,N,F,F,wbri,7.0,6,6
X931100606048,Male,F,N,F,F,wbri,7.0,6,
X931100606048,Male,F,N,F,F,wbri,7.0,,6
X931100606048,Male,F,N,F,F,wbri,7.0,,
X931100606048,Male,F,N,F,F,wbri,,6,6
X931100606048,Male,F,N,F,F,wbri,,6,
X931100606048,Male,F,N,F,F,wbri,,,6
X931100606048,Male,F,N,F,F,wbri,,,
Y931252505053,Male,F,N,F,F,apkn,,,
F931252106030,Female,F,N,F,F,wbri,,,
K931325306003,Male,F,N,F,F,wbri,,,
V931253906018,Male,F,N,T,F,wbri,,,
