upn,gender_ap2,fsm_real,sen_real,pp_real,eal_real,ethnicity_code_real,dob_real,post_code_real,spanish_ap1,spanish_ap2,spanish_real,fft
P331215507023,,T,N,T,F,bafr,9.0,OX4,,,,
E931252107011,,F,N,F,F,both,1.0,OX4,,,,
G931101105054,,F,N,F,F,apkn,10.0,OX3,,,,
C330217306007,,T,N,T,F,apkn,9.0,OX3,9.0,,9.0,8.0
D931100605053,,F,N,F,F,apkn,10.0,OX3,,,,
L931316507001,,F,N,F,F,apkn,10.0,OX3,7.0,,5.0,6.0
B931321006021,,F,N,F,F,aban,3.0,OX4,,,,
W931101006015,,F,N,F,F,woth,1.0,OX1,,,,
Y317207106043,,F,N,F,F,aban,10.0,OX4,,,,
B931101006030,,F,N,F,F,aban,5.0,OX1,,,,
T931252505038,,F,N,F,F,apkn,9.0,OX4,,,,
T931253906007,,F,N,F,F,nobt,11.0,OX4,,,,
E931384213046,,F,N,F,F,wbri,12.0,OX3,,,,
E931384213046,,F,N,F,F,wbri,12.0,OX3,,,,
E931384213046,,F,N,F,F,wbri,12.0,OX3,,,,
E931384213046,,F,N,F,F,wbri,12.0,OX3,,,,
E931384213046,,F,N,F,F,wbri,12.0,OX3,,,,
E931384213046,,F,N,F,F,wbri,12.0,OX3,,,,
E931384213046,,F,N,F,F,wbri,12.0,OX3,,,,
E931384213046,,F,N,F,F,wbri,12.0,OX3,,,,
L931252707004,,F,K,F,F,wbri,9.0,OX3,,,,
Z931100506018,,F,N,F,F,apkn,7.0,OX4,,,,
B931100606014,,F,N,F,F,wbri,1.0,OX3,,,,
K931101106001,,F,N,F,F,weng,1.0,OX3,,,,
L931101106048,,F,K,F,F,aind,5.0,OX3,,,,
R931325307010,,F,N,F,F,aind,6.0,OX3,,,,
,,F,N,F,F,nobt,7.0,OX3,,,,
,,F,N,F,F,nobt,7.0,OX3,,,,
,,F,N,F,F,nobt,7.0,OX3,,,,
,,F,N,F,F,nobt,7.0,OX3,,,,
M931100605068,,F,N,F,F,wbri,2.0,OX3,,,,
B931100605069,,F,N,F,F,wbri,2.0,OX3,,,,
R671331305009,,F,N,F,F,aoth,9.0,OX4,,,,
C931100605033,,F,N,F,F,wbri,10.0,OX3,8.0,,6.0,8.0
H931101106017,,T,N,T,F,wbri,3.0,OX3,,,,
V931252107003,,F,N,T,F,mwbc,3.0,OX3,,,,
G931100606027,,F,N,F,F,apkn,2.0,OX3,9.0,,7.0,6.0
X931101006006,,F,N,F,F,woth,2.0,OX3,,,,
L931101006007,,F,N,F,F,woth,2.0,OX3,,,,
J931412016033,,F,N,T,F,bcrb,1.0,OX3,,,,
A931254306020,,F,N,F,F,wbri,4.0,OX3,,,,
L931101005035,,F,N,T,F,moth,11.0,OX3,5.0,,3.0,4.0
D931259306070,,T,N,T,F,mwbc,8.0,OX11,,,,
N931261207031,,T,N,T,F,wbri,7.0,OX4,,,,
H931412014009,,F,N,F,F,woth,12.0,OX14,,,,
Y931100605040,,F,N,F,F,wbri,12.0,OX3,,,,
H931252106039,,F,N,T,F,wbri,10.0,OX3,,,,
P931254306019,,F,N,T,F,wbri,3.0,OX3,,,,
W931101106027,,F,N,F,F,wbri,1.0,OX3,,,,
U931100606017,,F,N,F,F,wbri,8.0,OX3,,,,
R931252107001,,F,N,T,F,wbri,9.0,OX3,,,,
M931101106012,,F,N,T,F,wbri,3.0,OX3,,,,
X931100606048,,F,N,F,F,wbri,8.0,OX3,,,,
X931100606048,,F,N,F,F,wbri,8.0,OX3,,,,
X931100606048,,F,N,F,F,wbri,8.0,OX3,,,,
X931100606048,,F,N,F,F,wbri,8.0,OX3,,,,
X931100606048,,F,N,F,F,wbri,8.0,OX3,,,,
X931100606048,,F,N,F,F,wbri,8.0,OX3,,,,
X931100606048,,F,N,F,F,wbri,8.0,OX3,,,,
X931100606048,,F,N,F,F,wbri,8.0,OX3,,,,
Y931252505053,,F,N,F,F,apkn,2.0,OX4,,,,
F931252106030,,F,N,F,F,wbri,8.0,OX3,,,,
K931325306003,,F,N,F,F,wbri,10.0,OX3,,,,
V931253906018,,F,N,T,F,wbri,2.0,OX3,,,,
E931259306032,,F,K,T,F,wbri,6.0,OX3,8.0,,6.0,4.0
H931100606018,,F,N,F,F,wbri,4.0,OX3,8.0,,6.0,7.0
E931100506033,,F,N,F,F,wbri,9.0,OX3,9.0,,8.0,7.0
W931383407006,,F,N,F,F,wbri,1.0,OX4,4.0,,3.0,4.0
N931254305056,,F,N,F,F,woth,9.0,OX3,,,,
U931252106040,,F,N,F,F,wbri,7.0,OX3,,,,
U931321107008,,F,N,F,F,wbri,10.0,OX3,8.0,,7.0,6.0
W931412016023,,T,N,T,F,aoth,1.0,OX3,,,,
X931412016014,,F,N,F,F,aoth,5.0,OX3,,,,
F676234105014,,F,N,F,F,aind,3.0,OX3,,,,
W931252106022,,F,N,T,F,mwbc,2.0,OX3,2.0,,2.0,3.0
A931412014043,,F,N,F,F,wbri,2.0,OX3,,,,
N931101006020,,F,N,F,F,apkn,2.0,OX14,,,,
