subject,MSE,RMSE,R2,Cross-validation,Mean cross validation,Mean Absolute Error,Mean cross-validation
art_&_design,0.381,0.617,0.879,[0.74002986 0.86107262 0.86977095 0.87914328 0.91133488],,0.333,0.852
biology,0.674,0.821,0.801,[0.66535687 0.67779436 0.6944605  0.74202896 0.82260193],,0.535,0.720
business_studies,1.088,1.043,0.733,[0.59504923 0.64112072 0.69116797 0.70863456 0.7535996 ],,0.853,0.678
chemistry,0.962,0.981,0.697,[0.71074032 0.71982244 0.7484869  0.81404804 0.8341043 ],,0.731,0.765
computer_science,1.409,1.187,0.806,[0.35677573 0.55897132 0.78536379 0.89047076 0.89429892],,0.864,0.697
drama,1.500,1.225,0.669,[0.65802016 0.69880686 0.8075868  0.80782276 0.84366392],,0.833,0.763
english_language,1.200,1.095,0.647,[0.63712673 0.67716957 0.7085387  0.77838012 0.78928265],,0.828,0.718
english_literature,1.584,1.259,0.645,[0.66992148 0.7252457  0.73089527 0.74074557 0.77928431],,0.926,0.729
food_technology,1.276,1.130,0.699,[0.62170159 0.65450089 0.70384142 0.77768254 0.78966864],,0.862,0.709
french_language,1.375,1.173,0.738,[0.68973798 0.77833459 0.84180915 0.84580356 0.86064831],,0.812,0.803
geography,1.774,1.332,0.682,[0.58990256 0.71409313 0.75667763 0.80836664 0.84797382],,0.935,0.743
german,1.545,1.243,0.561,[0.31327665 0.53467451 0.58181633 0.68180212 0.74041269],,1.000,0.570
history,1.380,1.175,0.762,[0.6799935  0.73250698 0.76023481 0.80180077 0.80848536],,0.873,0.757
ict_btec,1.737,1.318,0.350,[-0.33915976 -0.03154256  0.10847667  0.31558879  0.35917813],,1.105,0.083
maths,0.556,0.745,0.884,[0.87311138 0.88558609 0.88693227 0.89687399 0.89818704],,0.490,0.888
music_studies,2.200,1.483,0.500,[-0.6750411   0.19674654  0.56244587  0.65200099  0.87302912],,1.000,0.322
music_tech_grade,0.750,0.866,0.901,[0.53274488 0.54152649 0.69474826 0.85673992 0.87285162],,0.583,0.700
pearson_btec_sport,0.564,0.751,0.912,[0.85739588 0.87235876 0.88416027 0.9319611  0.97504058],,0.308,0.904
physics,0.904,0.951,0.667,[0.57223709 0.71562156 0.73698674 0.73860579 0.75527658],,0.673,0.704
science_double,1.081,1.040,0.671,[0.63383439 0.78890466 0.79596507 0.83505213 0.85898168],,0.657,0.783
spanish,1.907,1.381,0.648,[0.66273604 0.71064205 0.75290344 0.79580602 0.84191175],,1.116,0.753
