upn,gender_ap2,sen_real,ethnicity_code_real,biology_ap1,biology_ap2,biology_real,pp_bool,fsm_bool,eal_bool
G931101105054,Male,N,apkn,4,6,6,1,1,1
C330217306007,Female,N,apkn,7,7,7,2,2,1
L931316507001,Male,N,apkn,5,6,6,1,1,1
W931101006015,Female,N,woth,3,8,8,1,1,1
L931252707004,Male,K,wbri,6,9,9,1,1,1
K931101106001,Male,N,weng,6,6,6,1,1,1
M931100605068,Male,N,wbri,8,9,9,1,1,1
B931100605069,Male,N,wbri,8,8,8,1,1,1
R671331305009,Female,N,aoth,4,5,5,1,1,1
C931100605033,Male,N,wbri,8,8,8,1,1,1
H931101106017,Female,N,wbri,5,6,6,2,2,1
G931100606027,Female,N,apkn,7,7,7,1,1,1
X931101006006,Female,N,woth,7,8,8,1,1,1
L931101006007,Male,N,woth,6,5,5,1,1,1
A931254306020,Female,N,wbri,7,6,6,1,1,1
W931101106027,Male,N,wbri,5,6,6,1,1,1
X931100606048,Male,N,wbri,6,6,6,1,1,1
X931100606048,Male,N,wbri,6,6,6,1,1,1
H931100606018,Female,N,wbri,7,7,7,1,1,1
E931100506033,Female,N,wbri,7,8,8,1,1,1
U931252106040,Female,N,wbri,6,6,6,1,1,1
U931321107008,Male,N,wbri,7,8,8,1,1,1
X931412016014,Male,N,aoth,4,5,5,1,1,1
F676234105014,Male,N,aind,8,8,8,1,1,1
A931412014043,Male,N,wbri,9,9,9,1,1,1
M931325205057,Female,N,woth,4,4,4,2,2,1
G931100506044,Male,K,wbri,8,9,9,2,1,1
F931100605064,Female,N,wbri,7,7,7,1,1,1
D931100606054,Male,N,moth,9,9,9,1,1,1
J931252111046,Female,N,aind,5,5,5,1,1,1
N931383807032,Male,N,wbri,3,4,4,1,1,1
N931383807032,Male,N,wbri,3,4,7,1,1,1
N931383807032,Male,N,wbri,3,7,4,1,1,1
N931383807032,Male,N,wbri,3,7,7,1,1,1
N931383807032,Male,N,wbri,6,4,4,1,1,1
N931383807032,Male,N,wbri,6,4,7,1,1,1
N931383807032,Male,N,wbri,6,7,4,1,1,1
N931383807032,Male,N,wbri,6,7,7,1,1,1
P931101006038,Female,N,mwas,6,6,6,1,1,1
C931100606034,Male,N,wbri,9,8,8,1,1,1
K931100606031,Male,N,wiri,7,7,7,1,1,1
D931252107018,Male,N,wbri,4,3,3,1,2,1
C931100507023,Female,N,wbri,8,9,9,1,1,1
H208102705053,Female,N,wbri,7,6,6,1,1,1
X931261206016,Female,N,wbri,4,3,3,2,2,1
N931100507022,Female,N,refu,9,9,9,1,1,1
A931100506011,Female,N,wbri,8,8,8,1,1,1
V931252707021,Male,N,wbri,4,5,5,1,1,1
J931101106037,Female,N,ofil,5,5,5,1,1,1
G307217406036,Male,N,aoth,5,6,6,1,1,1
K931325206020,Female,K,wbri,6,6,6,1,1,1
B931100506029,Female,N,wbri,7,7,7,1,1,1
W206364307011,Male,N,woth,3,3,3,1,1,1
H312201906096,Female,N,moth,4,5,5,1,1,1
Q931100506003,Female,N,wbri,5,5,5,1,1,1
X931253107017,Female,N,aban,4,4,4,2,2,1
A931252506007,Male,N,aban,8,8,8,1,1,1
Z931321007011,Male,N,mwas,8,8,8,1,1,1
R931252108058,Female,N,aind,8,6,6,1,1,1
M931100506030,Female,N,aind,4,6,6,1,1,1
G931246107013,Male,N,aind,6,5,5,1,1,1
Y931101106009,Male,N,wbri,6,8,8,2,1,1
Q931258913004,Male,N,ooth,8,6,6,1,1,1
T931321006062,Female,N,woth,3,4,4,2,1,1
D931252109080,Female,N,ofil,5,4,4,1,1,1
K931100506046,Female,N,wbri,6,6,6,1,1,1
E931101106015,Male,N,aoth,6,7,7,1,1,1
W931101107030,Female,N,mwas,4,5,5,1,1,1
E931100605015,Male,N,wbri,7,8,8,1,1,1
Z931100507021,Female,N,wbri,6,7,7,1,1,1
N931100606033,Female,N,wbri,4,5,5,1,1,1
G931100506015,Female,N,wbri,6,6,6,1,1,1
B931383807013,Female,N,wbri,7,7,7,1,1,1
N931101106032,Male,N,wbri,9,9,9,1,1,1
E931383807015,Male,N,wiri,6,5,5,1,1,1
X931321107012,Male,N,wbri,6,7,7,1,1,1
Y931101106040,Female,N,mwba,4,5,5,1,1,1
A931100606023,Female,N,wbri,7,9,9,1,1,1
L931321107013,Male,N,aind,6,6,6,1,1,1
M931252912006,Female,N,aind,5,7,7,1,1,1
Q931100605043,Male,N,wbri,6,6,6,1,1,1
A931321107014,Female,N,wbri,4,4,4,2,1,1
V931325307012,Female,N,wbri,6,6,6,1,1,1
X931253906029,Female,N,wbri,7,8,8,1,1,1
L931100606022,Male,N,aoth,6,7,7,1,1,1
J931100606011,Male,K,wbri,3,4,4,2,2,1
B931100506031,Male,N,wbri,3,6,6,1,1,1
P931321107015,Female,N,wbri,8,8,8,1,1,1
G93132110702A,Female,N,mwbc,6,5,5,2,2,1
T928222007041,Male,N,aind,6,8,8,1,1,1
L931101105047,Female,N,mwas,5,6,6,1,1,1
N931252707015,Female,K,wbri,5,5,5,1,1,1
Z931252707014,Female,N,wbri,6,7,7,1,1,1
R931100506023,Male,N,wbri,8,9,9,1,1,1
B931101006001,Female,N,woth,8,9,9,1,1,1
R931383407013,Female,N,wbri,4,6,6,1,1,1
N931100605061,Female,N,wbri,8,8,8,1,1,1
J931100606009,Male,N,wbri,7,8,8,1,1,1
A931316507029,Male,N,wbri,5,4,4,2,2,1
L931325205066,Male,N,moth,6,7,7,1,1,1
U850262306029,Female,N,aoth,7,6,6,1,1,1
K931100606029,Female,N,woth,7,8,8,1,1,1
J931100606040,Male,N,wbri,4,5,5,1,1,1
Q931252906022,Male,N,wbri,4,4,4,1,1,1
E931252108068,Female,N,both,7,6,6,1,1,1
F931252707018,Male,N,wbri,6,6,6,1,1,1
