upn,gender_ap2,music_studies__gcse_level_1/2_ap1,music_studies__gcse_level_1/2_ap2,music_studies__gcse_level_1/2_real,sen_bool,pp_bool,fsm_bool,eal_bool
V931412017033,Female,7,7,7,0,0,0,0
R931252710029,Female,7,7,7,0,0,0,0
T931412018023,Male,3,3,3,0,0,0,0
U931252710013,Male,5,5,6,0,0,0,0
V333218013124,Female,6,5,5,0,0,0,0
R931100609011,Female,6,6,7,0,0,0,0
X931252710015,Female,7,7,8,0,0,0,0
M931252916068,Female,4,4,4,0,0,0,0
L931321113001,Female,9,8,9,0,0,0,0
U931383908031,Female,7,7,8,0,0,0,0
K931101108059,Male,4,3,4,0,0,0,0
K931101109004,Female,8,8,9,0,0,0,0
V931100509030,Male,6,6,5,0,0,0,0
T931321112004,Female,8,8,9,0,0,0,0
A931252110030,Female,7,6,6,0,0,0,0
H931383811003,Male,7,6,3,0,1,1,2
D931383811010,Female,7,7,6,0,1,1,1
P931258912012,Male,7,7,5,0,1,1,2
J931252711006,Female,8,8,8,0,1,1,1
Z931412020011,Male,3,3,3,0,1,1,1
M931252711008,Male,4,3,3,0,1,1,1
X931100609053,Male,9,9,9,0,1,1,1
Y931321111016,Male,5,5,4,0,1,1,1
B931100610027,Male,3,3,4,1,1,1,1
N931412020012,Female,3,3,2,0,1,1,1
R931412022016,Male,6,6,7,0,1,1,1
B931101010014,Male,4,4,4,0,1,1,1
N931383311012,Male,3,3,3,0,1,1,1
Q931100610030,Female,7,6,7,0,1,1,1
K931252711026,Male,8,8,7,0,1,1,1
J931101110052,Female,6,6,5,0,1,1,1
D931412020033,Male,3,2,3,0,1,1,1
