upn,sen_real,ethnicity_code_real,spanish_ap1,spanish_ap2,spanish_real,pp_bool,fsm_bool,eal_bool
U931235711035,N,oara,5,4,3,0,0,1
N931252711030,K,wbri,4,4,5,0,0,0
K931321611012,K,mwbc,4,4,3,1,1,0
L931252112002,N,ooth,7,7,7,0,0,1
P931325310038,K,mwbc,2,1,0,0,0,0
E931252510015,N,wbri,1,1,1,1,1,0
T313201310021,N,bafr,4,4,3,0,0,0
F931321311008,N,wbri,5,5,4,0,0,0
T931101110009,N,aind,6,6,5,0,0,1
Z931102210003,N,wbri,4,4,3,0,0,0
D825303112031,N,moth,6,7,7,0,0,0
Z931101010003,N,wbri,4,4,3,1,1,0
V931101010010,N,aind,7,7,6,0,0,1
X931383611007,N,woth,6,5,5,0,0,0
D931383811010,N,wbri,5,5,5,0,0,0
B931252510042,N,aoth,4,4,3,0,0,1
F931252711004,N,ofil,6,6,5,0,0,0
Z931252110037,N,wbri,4,4,4,0,0,0
W931252511001,N,wbri,7,7,7,0,0,0
L931252510019,N,mwba,4,4,5,0,0,1
W931252111036,N,moth,4,4,2,1,1,1
A931383611038,N,wbri,4,4,3,0,0,0
M931100510014,N,wbri,9,8,9,0,0,0
M931252109066,N,wbri,1,1,0,1,0,0
P931100610010,N,wbri,5,5,4,0,0,0
D931100610009,N,wbri,7,7,8,0,0,0
M931252711008,N,wbri,5,4,4,0,0,0
Z931101110015,K,wbri,4,3,2,0,0,0
H931252716051,N,aind,1,1,1,1,1,0
V931100609071,N,mwas,5,5,3,0,0,0
F931101110019,N,mwas,0,0,0,1,1,0
N211237810008,N,bafr,7,7,6,1,1,1
Q931252109070,N,woth,5,5,4,0,0,1
V931253909052,N,moth,7,7,5,1,1,0
W931100610014,N,moth,5,5,3,1,1,0
V931321611018,N,wbri,3,0,0,1,0,0
K931412018026,N,aban,5,4,5,0,0,1
E931100609077,N,wbri,5,5,4,0,0,0
N931383611019,N,ooth,8,8,8,0,0,0
T931252517034,N,woth,8,8,9,0,0,1
M931101110025,N,apkn,1,1,2,1,1,0
C931383611022,N,bafr,3,3,3,0,0,0
L931321611032,K,wbri,4,4,4,0,0,0
R931412022016,N,wbri,5,5,5,0,0,0
U931101110029,N,both,5,5,0,1,1,0
Y931325209062,N,wbri,3,3,1,0,0,0
Z203222811011,N,refu,5,5,4,0,0,0
Q931101010015,N,aban,4,5,3,1,1,0
B931412019012,N,ooth,9,9,8,1,1,0
V931100610023,N,wbri,3,3,3,0,0,0
H931252911041,N,wbri,6,7,5,0,0,0
J931321010031,N,aind,5,5,4,0,0,1
G931252113008,N,woth,5,4,3,0,0,1
E931258911003,N,mwba,5,5,3,1,1,0
M931383611001,N,mwai,7,7,8,0,0,0
J931252911003,N,bafr,5,5,2,0,0,1
D931101110037,N,wiri,4,4,4,0,0,0
R931325210037,N,bafr,6,5,4,0,0,0
H931100610033,N,mwas,3,4,4,0,0,0
T931101110038,N,nobt,4,3,2,0,0,0
L302202811022,K,wbri,6,6,4,0,0,0
F931412020044,N,woth,9,9,9,0,0,0
E931100609048,N,wbri,6,6,5,0,0,0
Z316209709137,N,aoth,4,4,3,0,0,1
Q931321111021,N,wbri,7,7,8,0,0,0
W931101110013,N,apkn,4,5,3,0,0,1
G931252910020,N,aind,4,4,4,0,0,0
X931252515054,N,mwbc,9,9,9,0,0,1
K931101110043,N,aind,5,5,4,0,0,1
K931252510030,N,mwas,7,8,7,1,1,1
B931321112019,N,wbri,7,9,8,0,0,0
P931100610037,N,woth,8,8,9,0,0,0
T931100610039,N,mwbc,8,8,7,0,0,1
G931100610042,N,wbri,5,5,5,0,0,0
D931100610040,N,wbri,7,7,7,0,0,0
K931252711026,N,wbri,8,9,9,0,0,0
U208257811003,N,wbri,3,3,2,0,0,0
N931252711028,N,apkn,5,4,3,0,0,1
B931101110055,N,bafr,4,4,3,0,0,0
D931383811037,K,aoth,4,4,3,0,0,1
