subject,MSE,RMSE,R2,Cross-validation,Mean cross validation
art_&_design,0.000,0.000,1.000,[0.79593747 0.90264647 0.91915823 0.92123817 0.93508126],0.895
biology,0.100,0.316,0.950,[0.76597159 0.91882885 0.93195775 0.96866858 0.9719456 ],0.911
business_studies,0.214,0.463,0.768,[0.77779685 0.8378752  0.89601346 0.927008   0.94451543],0.877
chemistry,0.000,0.000,1.000,[0.724655   0.88523176 0.94800586 0.95991178 0.97818192],0.899
computer_science,0.000,0.000,1.000,[0.73251522 0.94946373 0.95698695 0.9577583  0.96250936],0.912
drama,0.000,0.000,1.000,[0.84412267 0.90506485 0.91748665 0.92811441 0.97924946],0.915
english_language,0.098,0.312,0.952,[0.90351023 0.91710078 0.92401797 0.93034563 0.93858341],0.923
english_literature,0.023,0.151,0.984,[0.93813983 0.95039938 0.95284997 0.95998683 0.96565567],0.953
food_technology,0.222,0.471,0.917,[0.50350779 0.91535381 0.94688877 0.95478675 0.96197179],0.857
french_language,0.000,0.000,1.000,[0.90944652 0.92995254 0.94969756 0.95277317 0.95977506],0.940
geography,0.111,0.333,0.973,[0.94860556 0.96212876 0.96227044 0.97714353 0.98071662],0.966
german,0.000,0.000,1.000,[0.42354679 0.89368155 0.96875398 0.97602673 0.98454842],0.849
history,0.080,0.283,0.933,[0.9157506  0.94517091 0.9604149  0.96628375 0.98147669],0.954
maths,0.222,0.471,0.906,[0.92681329 0.93764297 0.94844003 0.94848307 0.95838018],0.944
music_studies,0.000,0.000,1.000,[0.88541724 0.91015534 0.95850945 0.96273613 0.97542024],0.938
physics,0.071,0.267,0.971,[0.82098939 0.87500941 0.87580292 0.9479612  0.94821192],0.894
product_design,0.000,0.000,1.000,[0.99593455 0.71895411 0.86669396 0.97443541 0.91116101],0.893
spanish,0.083,0.289,0.959,[0.84313381 0.90165074 0.93034558 0.93305546 0.94253584],0.910
