subject,MSE,RMSE,R2,Cross-validation,Mean cross validation,Mean Absolute Error,Mean cross-validation
art,0.485,0.696,0.839,[0.7367233  0.7900369  0.85247328 0.86253759 0.89414056],,0.424,0.827
art_&_design,0.429,0.655,0.864,[0.73803638 0.83787542 0.86231853 0.86988914 0.8847258 ],,0.333,0.839
biology,0.583,0.764,0.742,[0.53668582 0.70712334 0.78616836 0.90566595 0.92969786],,0.417,0.773
business_studies,1.222,1.106,0.705,[0.59776835 0.65100542 0.67191811 0.72188108 0.78790009],,0.722,0.686
chemistry,0.789,0.889,0.751,[0.58482309 0.74851359 0.78227896 0.79411204 0.80824987],,0.614,0.744
computer_science,1.571,1.254,0.638,[0.72493509 0.73465406 0.8264879  0.87955059 0.89715039],,0.905,0.813
drama,1.429,1.195,0.822,[0.75622501 0.76861426 0.81998899 0.82921096 0.83758644],,1.000,0.802
english_language,0.627,0.792,0.925,[0.91534131 0.92571919 0.92732769 0.93192493 0.93832698],,0.401,0.928
english_literature,0.595,0.771,0.926,[0.89464131 0.8985852  0.90795153 0.9087277  0.92561155],,0.446,0.907
food_technology,1.448,1.203,0.658,[0.51393381 0.52902219 0.69534435 0.72037755 0.77947608],,0.966,0.648
french_language,0.323,0.568,0.935,[0.87572347 0.91757902 0.94569228 0.96875347 0.975723  ],,0.108,0.937
geography,1.727,1.314,0.687,[0.3917971  0.74224301 0.79423088 0.81037951 0.89715007],,0.855,0.727
german,1.750,1.323,0.747,[0.52563981 0.63338455 0.90466734 0.91779    0.93643424],,0.917,0.784
history,2.173,1.474,0.615,[0.61338479 0.68799571 0.70101953 0.76735955 0.77490211],,1.000,0.709
ict_btec,0.221,0.470,0.720,[0.40206969 0.73693512 0.79741553 0.86831355 0.92452578],,0.081,0.746
maths,0.503,0.710,0.908,[0.80695672 0.85990841 0.86925578 0.89643683 0.9296349 ],,0.392,0.872
music_studies,0.125,0.354,0.969,[0.9575239  0.97429725 0.98281914 0.98717992 0.98803065],,0.075,0.978
music_tech_grade,0.111,0.333,0.959,[-0.01886792  0.9030945   0.91669198  0.99532061  0.99735769],,0.037,0.759
pearson_btec_sport,0.861,0.928,0.821,[0.83552022 0.84380829 0.84879639 0.85238552 0.94086653],,0.639,0.864
physics,0.684,0.827,0.799,[0.45234876 0.48825062 0.806847   0.81854531 0.87253484],,0.474,0.688
science_double,0.248,0.498,0.968,[0.93569868 0.95551773 0.97162475 0.97757379 0.98046119],,0.184,0.964
spanish,1.583,1.258,0.626,[0.57107882 0.75111565 0.7980028  0.83416223 0.85918966],,0.750,0.763
