subject,MSE,RMSE,R2,Cross-validation,Mean cross validation,Mean Absolute Error,Mean cross-validation
art_&_design,0.452,0.673,0.857,[0.74002986 0.86107262 0.86977095 0.87914328 0.90844444],,0.357,0.852
biology,0.744,0.863,0.780,[0.67119234 0.6875893  0.69464399 0.73632101 0.82617251],,0.558,0.723
business_studies,1.088,1.043,0.733,[0.60325211 0.64441597 0.70303409 0.70805562 0.76134324],,0.853,0.684
chemistry,0.962,0.981,0.697,[0.71129313 0.72014932 0.7481195  0.81431667 0.83390625],,0.731,0.766
computer_science,1.409,1.187,0.806,[0.35563852 0.63823145 0.8149657  0.8877354  0.89460139],,0.864,0.718
drama,1.500,1.225,0.669,[0.65802016 0.69880686 0.76933826 0.80696725 0.81628891],,0.833,0.750
english_language,1.131,1.064,0.667,[0.64100112 0.67875818 0.70932043 0.77812559 0.78876674],,0.786,0.719
english_literature,1.550,1.245,0.653,[0.66936954 0.68811112 0.72281457 0.74070488 0.77989453],,0.906,0.720
food_technology,1.276,1.130,0.699,[0.62186712 0.65367106 0.70322803 0.7784894  0.79137643],,0.862,0.710
french_language,1.219,1.104,0.768,[0.69101385 0.77909473 0.84213848 0.85196763 0.86026326],,0.719,0.805
geography,1.710,1.308,0.694,[0.59038765 0.71573345 0.75835972 0.80809798 0.84612465],,0.935,0.744
german,1.000,1.000,0.716,[0.45463947 0.59801247 0.60509105 0.62930101 0.80638862],,0.818,0.619
history,1.316,1.147,0.773,[0.68303818 0.72968792 0.75261249 0.80611216 0.80948611],,0.886,0.756
ict_btec,2.263,1.504,0.152,[-0.52995617  0.03337676  0.14674971  0.30984187  0.36505574],,1.316,0.065
maths,0.556,0.745,0.884,[0.87525327 0.88548549 0.8873831  0.89661241 0.8986528 ],,0.490,0.889
music_studies,2.200,1.483,0.500,[-0.70059943  0.09665406  0.5425459   0.879348    0.89940838],,1.000,0.343
music_tech_grade,0.750,0.866,0.901,[0.57132626 0.6676209  0.85441904 0.85875822 0.88175319],,0.583,0.767
pearson_btec_sport,0.564,0.751,0.912,[0.85760007 0.8718078  0.88416027 0.9319611  0.97504058],,0.308,0.904
physics,0.885,0.941,0.674,[0.57865454 0.71611507 0.73578585 0.74285458 0.76713416],,0.615,0.708
science_double,0.929,0.964,0.717,[0.67757826 0.78925075 0.80451081 0.82393152 0.84563494],,0.626,0.788
spanish,1.930,1.389,0.644,[0.66244377 0.71060742 0.7543081  0.79592078 0.84217565],,1.140,0.753
