subject,MSE,RMSE,R2,Cross-validation,Mean cross validation,Mean Absolute Error,Mean cross-validation
art,0.429,0.655,0.906,[0.80532683 0.8708732  0.90385622 0.92867997 0.96639547],,0.357,0.895
biology,0.840,0.917,0.701,[0.61382259 0.63073038 0.73042799 0.75026603 0.75547906],,0.480,0.696
business_studies,1.200,1.095,0.757,[0.60197157 0.674624   0.70358293 0.79473153 0.82157858],,0.750,0.719
chemistry,0.655,0.809,0.809,[0.75665836 0.77523543 0.82182745 0.86215135 0.86722852],,0.436,0.817
computer_science,5.071,2.252,0.284,[-0.21160087  0.62178548  0.76779746  0.77089575  0.8544241 ],,1.500,0.561
drama,1.682,1.297,0.805,[0.71665326 0.75552603 0.84263823 0.84563491 0.88530552],,0.955,0.809
english_language,1.122,1.059,0.740,[0.58781102 0.5955067  0.65124184 0.69162915 0.78540564],,0.780,0.662
english_literature,0.940,0.970,0.737,[0.68163965 0.76326838 0.77464736 0.77555069 0.81169892],,0.642,0.761
french_language,0.066,0.257,0.968,[0.88828477 0.94223893 0.96339613 0.97853994 0.98201265],,0.047,0.951
geography,1.140,1.067,0.795,"[-2.76224581e+25  7.14425412e-01  7.29236515e-01  7.54125837e-01
  8.57164926e-01]",,0.628,-5524491628255174337757184.000
german,0.417,0.645,0.894,[0.87132879 0.89438349 0.92982641 0.9473881  0.9876025 ],,0.250,0.926
history,1.075,1.037,0.840,[0.67587496 0.69693491 0.81903395 0.82199305 0.90063973],,0.698,0.783
ict_btec,0.495,0.704,0.633,[0.46342    0.62742721 0.67387803 0.88780988 0.9427495 ],,0.158,0.719
maths,0.000,0.000,1.000,[1. 1. 1. 1. 1.],,0.000,1.000
music_studies,0.021,0.144,0.991,[0.         0.95361039 0.98486862 0.99302408 0.99510424],,0.021,0.785
pearson_btec_sport,0.364,0.603,0.948,[0.93386354 0.94493273 0.96113172 0.97388929 0.99687256],,0.182,0.962
physics,1.327,1.152,0.698,[0.59851192 0.61884877 0.64769358 0.69624146 0.80845397],,0.600,0.674
science_double,0.126,0.355,0.972,[0.97021802 0.97599664 0.97630351 0.9767395  0.982546  ],,0.126,0.976
spanish,0.811,0.900,0.839,[0.84573963 0.86383493 0.88738095 0.89123699 0.90756624],,0.595,0.879
