subject,MSE,RMSE,R2,Cross-validation,Mean cross validation,Mean Absolute Error,Mean cross-validation
art_&_design,0.762,0.873,0.789,[0.6670501  0.83633224 0.87536782 0.89595914 0.92311245],,0.583,0.840
biology,0.500,0.707,0.822,[0.66339993 0.72387667 0.82057496 0.86114413 0.887699  ],0.791,0.481,
business_studies,1.160,1.077,0.725,[0.63462405 0.75524433 0.77530058 0.78742483 0.82272564],0.755,0.835,
chemistry,0.667,0.816,0.824,[0.74053535 0.77225476 0.79354499 0.87132051 0.88715369],0.813,0.599,
computer_science,0.727,0.853,0.919,[0.67135713 0.9144844  0.91711595 0.93195893 0.96608189],0.880,0.562,
drama,1.211,1.100,0.796,[0.67737703 0.78446102 0.79899501 0.85699043 0.95965448],0.815,0.861,
english_language,0.776,0.881,0.747,[0.60840346 0.62822006 0.80378922 0.81923537 0.83618912],0.739,0.697,
english_literature,1.139,1.067,0.627,[0.72437102 0.72534006 0.76777144 0.82414502 0.84266027],0.777,0.785,
food_technology,0.714,0.845,0.816,[0.21009521 0.39967432 0.40392015 0.80967878 0.85719101],0.536,0.625,
french_language,1.444,1.202,0.649,[0.46641188 0.74769742 0.75690792 0.88254361 0.88296784],0.747,0.985,
geography,0.774,0.880,0.834,[0.83823877 0.85263776 0.8716733  0.88261297 0.89825854],0.869,0.642,
german,0.400,0.632,0.946,[-2.37340455 -0.14513771  0.46602536  0.92287634  0.97504004],-0.031,0.674,
history,0.850,0.922,0.833,[0.78994238 0.82614224 0.85381183 0.86101687 0.91121211],0.848,0.667,
ict_btec,1.636,1.279,0.560,[-0.10076518  0.17080778  0.37809711  0.58512237  0.69424385],0.346,1.034,
maths,0.440,0.663,0.907,[0.9161611  0.91989571 0.93019542 0.93118384 0.94130711],0.928,0.456,
music_studies,1.200,1.095,0.595,[-7.82821831 -1.70438419  0.17328943  0.49336302  0.74420025],-1.624,0.885,
music_tech_grade,0.667,0.816,0.908,[-2.40490431  0.          0.92479354  0.93329011  0.94789942],0.080,0.653,
pearson_btec_sport,0.429,0.655,0.894,[0.91048252 0.91092245 0.9440273  0.953285   0.985085  ],0.941,0.282,
physics,0.667,0.816,0.809,[0.73333866 0.74000061 0.82347947 0.92576665 0.92771907],0.830,0.604,
science_double,0.540,0.735,0.841,[0.82458335 0.85164146 0.85938442 0.88491917 0.89684815],0.863,0.561,
spanish,0.947,0.973,0.762,[0.46739225 0.6612221  0.68274052 0.77971366 0.84992204],0.688,0.781,
