upn,estimate_ap2,actual_ap2,gender_ap2
u931235711035,41,51,Female
g931252911050,46,56,Female
h931101110003,58,56,Male
n931252711030,37,39,Female
e931412020024,0,0,Male
g931412020006,0,0,Male
g931252517035,25,29,Male
z931253110042,39,42,Male
c931240111011,39,49,Female
m931321611023,49,52,Female
y931321611022,61,59,Male
q931100610001,36,39,Male
d931201515052,23,26,Female
k931321611012,28,31,Male
l931252112002,36,49,Female
b931235210054,46,50,Male
w931412020007,0,0,Female
p931101110007,39,36,Male
p931325310038,44,47,Male
e931252510015,44,52,Female
a931252509041,61,68,Female
w382206709086,20,28,Male
c931252110012,69,72,Male
z931100510004,46,57,Female
t313201310021,41,55,Female
f931321311008,69,73,Female
t931101110009,41,46,Female
z931102210003,69,72,Female
a931383612039,49,55,Female
q931252111023,23,29,Male
j931252110016,15,23,Male
h931383811003,61,65,Male
k931321111006,52,49,Male
e931252111024,49,57,Female
n931252110011,49,48,Male
h931383611006,46,50,Male
d825303112031,41,45,Female
v931252710033,61,66,Male
x931100610005,58,62,Female
m931252711010,65,64,Male
v931259309056,36,37,Female
z931101010003,36,39,Male
t931101110011,37,36,Male
y931412021019,0,0,Male
v931252110015,65,76,Female
h931240111024,58,55,Male
a319204711002,61,57,Male
e931254309074,37,41,Male
c931325212009,24,22,Male
v931101010010,52,58,Female
x931383611007,37,45,Female
w931252110006,31,34,Male
p931252110031,18,31,Male
d931383811010,52,57,Female
e931100609050,69,76,Male
w931325310015,54,55,Male
d931325310012,52,56,Female
b931252510042,34,39,Male
p931258912012,61,68,Male
u931100609049,74,75,Male
p931412018019,0,0,Male
f931100510010,41,40,Male
u931235211060,49,54,Female
a931383611011,44,50,Male
f931252711004,69,67,Male
z931252110037,34,40,Female
c931321111011,32,33,Female
e931240111051,31,40,Female
w931383811013,37,38,Male
w931252511001,69,71,Male
r931321111012,44,53,Male
l931252510019,46,44,Male
w931252111036,34,41,Female
y203224211066,44,46,Female
c931252509052,74,77,Male
d931205815046,65,67,Male
v931240111014,37,48,Female
r931101109066,52,53,Male
z931383811015,61,60,Male
j931252711006,79,80,Female
a931383611038,65,70,Female
z931412020011,0,0,Male
q931100609076,49,50,Male
h931383411009,58,71,Male
k931412020008,0,0,Male
t931252111034,54,55,Male
m931100510014,54,60,Male
m931252109066,31,34,Female
p931100610010,61,59,Male
d931100610009,65,74,Female
x931252714050,0,0,Female
m931252711008,49,52,Male
e931324311001,0,0,Male
u931412022027,0,0,Male
t931414519094,0,0,Male
k931101110014,58,49,Female
z931101110015,61,57,Male
e931252711013,79,76,Male
h931252716051,27,31,Male
f931321611017,41,32,Female
t931100610012,74,67,Male
f931101109067,74,75,Male
j931261211022,65,65,Male
b931100609075,69,68,Male
v931100609071,46,50,Female
f931101110019,52,32,Female
n211237810008,61,67,Female
k931252511002,54,54,Male
w210350812010,0,0,Female
q931252109070,34,43,Female
x931100609053,79,86,Male
v931253909052,69,79,Male
y931321111016,65,60,Male
d931321113004,74,78,Female
w931100610014,46,54,Female
x931259310019,46,48,Male
j931321010029,54,60,Male
f931100511011,58,60,Female
v931321611018,39,50,Female
k931412018026,0,0,Female
e931100609077,65,68,Female
b931100610027,54,56,Male
r931254310045,17,22,Male
u931252509035,39,35,Male
r330213814100,54,38,Female
n931383611019,61,63,Male
z931259310003,46,55,Female
e931412022026,0,0,Female
n931325310018,46,44,Female
q931414519083,0,0,Male
g355350409042,58,66,Female
p931252111032,32,42,Female
n931100610017,54,59,Female
m931101109073,44,31,Female
c931100610020,39,41,Male
u931259309065,31,36,Male
t931252517034,46,45,Female
w931260609100,52,55,Male
r931383210028,21,25,Male
l931100510023,74,80,Female
y931261210051,27,31,Female
r931252110013,27,26,Male
m931101110025,46,49,Male
y931252111018,41,42,Male
c931383611022,41,39,Male
t931252110062,46,50,Male
n931412020012,0,0,Female
c931321009073,49,53,Male
r931325310051,23,26,Female
f931100610051,46,52,Male
z931412021041,0,0,Male
g931412019025,0,0,Male
h878261811006,24,27,Male
l931321611032,37,40,Male
p931100510025,65,75,Female
l931260610077,52,60,Male
b931383411005,49,57,Female
r931412022016,58,60,Male
v931412021046,0,0,Male
z931321012025,58,45,Female
w931100510031,17,18,Male
l931252111030,27,32,Female
e931101110028,65,62,Male
a931252111031,32,29,Male
u931101110029,49,58,Female
p931386115052,24,28,Male
b931101010014,65,66,Male
w931321011051,23,30,Male
y931325209062,37,44,Female
g931252110005,26,33,Male
n931383311012,0,0,Male
h931258911005,41,34,Male
c931321310005,36,40,Male
z203222811011,61,64,Male
a931252711018,30,28,Male
q931101010015,46,55,Female
l931411618003,0,0,Male
h931253110030,39,40,Male
q931100610030,79,81,Female
e931414520036,0,0,Female
b931412019012,0,0,Female
k931100510032,37,43,Male
z931321113009,74,77,Female
v931100610023,36,42,Female
h931252911041,61,60,Male
t931254310007,37,40,Male
f931259310036,54,60,Female
c931100509054,31,27,Male
a931101110035,58,59,Female
w931201516056,21,30,Female
j931321010031,65,76,Male
x931261211032,32,38,Male
n931253911030,49,59,Female
g931252113008,36,42,Female
e931101110057,0,0,Female
j931383811023,69,68,Male
e931258911003,46,50,Male
m931383611001,69,82,Female
m931383811025,54,54,Male
d931259309044,32,0,Male
j931252911003,49,51,Male
d931101110037,37,39,Male
r931325210037,49,57,Female
h931100610033,44,44,Female
a931252111029,44,50,Female
t931101110038,58,63,Female
g931383614018,39,51,Female
l302202811022,41,45,Female
a931321611004,54,61,Female
y931100610025,54,63,Male
f931412020044,34,34,Female
e931100609048,74,74,Male
k931253909044,34,36,Female
m931321010033,20,25,Male
q931412022025,0,0,Female
r211255710009,69,75,Male
z316209709137,58,58,Female
a931412020031,0,0,Female
h931412022028,0,0,Female
g931101110041,46,49,Male
g931412021007,0,0,Male
v931412021017,0,0,Male
q931321111021,79,80,Female
w931101110013,46,48,Female
g931412021036,0,0,Male
e931100510046,61,68,Female
h886463320015,0,0,Male
g931252910020,54,69,Male
x931252515054,54,57,Female
k931101110043,61,64,Male
x931254309077,54,61,Female
k931252510030,49,55,Female
b931325210016,39,46,Female
j931101109069,65,85,Female
u931325310033,46,49,Male
v931240111043,46,48,Female
u931100510047,65,70,Female
r931383511040,27,33,Female
h931259410003,25,28,Female
d931252509043,39,36,Male
v931100609069,34,33,Female
j331343616034,54,58,Female
q931261210054,32,34,Female
n931252715063,39,41,Female
c931101110046,69,80,Female
w931252711025,39,48,Female
b931321112019,65,67,Male
m931100609074,54,58,Male
w931252110035,46,54,Female
v931321311009,69,67,Male
p931100610037,69,75,Female
t931100610039,65,70,Male
l931235210033,65,68,Male
z931252510058,26,29,Female
g931100610042,54,61,Female
d931100610040,79,80,Female
k931252711026,69,71,Male
w931318811010,34,33,Male
j931101110052,0,0,Female
k931252910022,37,36,Male
a931100510053,49,54,Female
g931252914082,0,20,Female
x931252111027,30,30,Male
u208257811003,27,31,Male
r931261210045,54,63,Female
k931100510059,74,82,Female
z931252711027,19,29,Male
j931101010040,46,51,Female
k931100510061,54,64,Female
d931412020033,0,0,Male
n931252711028,41,50,Female
g931252110034,25,28,Male
e931252109069,34,43,Female
m931101110054,69,65,Male
b931101110055,34,43,Female
d931383811037,25,31,Male
