upn,estimate_ap2,actual_ap2,gender_ap2,d_&_t_textiles_technology_gcse_level_ap1,d_&_t_textiles_technology_gcse_level_ap2
e931252111024,49,57,Female,6,6
x931100610005,58,62,Female,7,7
d931383811010,52,57,Female,6,6
u931235211060,49,54,Female,6,6
y203224211066,44,46,Female,5,5
j931252711006,79,80,Female,8,8
b931100610027,54,56,Male,6,6
l931252111030,27,32,Female,4,4
f931259310036,54,60,Female,6,6
g931383614018,39,51,Female,5,5
k931253909044,34,36,Female,4,4
d931252509043,39,36,Male,4,4
q931261210054,32,34,Female,4,4
w931252711025,39,48,Female,5,5
g931100610042,54,61,Female,7,7
a931100510053,49,54,Female,6,6
