upn,estimate_ap2,actual_ap2,gender_ap2,english_literature_gcse_level_1/2_ap1,english_literature_gcse_level_1/2_ap2
u931235711035,41,51,Female,5,5
g931252911050,46,56,Female,6,6
h931101110003,58,56,Male,5,5
n931252711030,37,39,Female,5,5
g931252517035,25,29,Male,3,3
z931253110042,39,42,Male,4,4
c931240111011,39,49,Female,5,5
m931321611023,49,52,Female,6,6
y931321611022,61,59,Male,6,6
q931100610001,36,39,Male,4,4
d931201515052,23,26,Female,3,3
k931321611012,28,31,Male,3,3
l931252112002,36,49,Female,5,5
b931235210054,46,50,Male,5,5
p931101110007,39,36,Male,4,4
p931325310038,44,47,Male,4,4
e931252510015,44,52,Female,5,5
a931252509041,61,68,Female,7,7
w382206709086,20,28,Male,3,3
c931252110012,69,72,Male,7,7
z931100510004,46,57,Female,6,6
t313201310021,41,55,Female,6,6
f931321311008,69,73,Female,7,7
t931101110009,41,46,Female,5,5
z931102210003,69,72,Female,7,7
a931383612039,49,55,Female,6,6
q931252111023,23,29,Male,3,3
j931252110016,15,23,Male,3,3
h931383811003,61,65,Male,6,6
k931321111006,52,49,Male,5,5
e931252111024,49,57,Female,6,6
n931252110011,49,48,Male,5,5
h931383611006,46,50,Male,5,5
d825303112031,41,45,Female,5,5
v931252710033,61,66,Male,6,6
x931100610005,58,62,Female,6,6
m931252711010,65,64,Male,6,6
v931259309056,36,37,Female,4,4
z931101010003,36,39,Male,4,4
t931101110011,37,36,Male,4,4
v931252110015,65,76,Female,7,7
h931240111024,58,55,Male,6,6
a319204711002,61,57,Male,5,5
e931254309074,37,41,Male,4,4
c931325212009,24,22,Male,3,3
v931101010010,52,58,Female,6,6
x931383611007,37,45,Female,5,5
w931252110006,31,34,Male,4,4
p931252110031,18,31,Male,3,3
d931383811010,52,57,Female,6,6
e931100609050,69,76,Male,7,7
w931325310015,54,55,Male,5,5
d931325310012,52,56,Female,6,6
b931252510042,34,39,Male,4,4
p931258912012,61,68,Male,7,7
u931100609049,74,75,Male,7,7
f931100510010,41,40,Male,4,4
u931235211060,49,54,Female,6,6
a931383611011,44,50,Male,5,5
f931252711004,69,67,Male,6,6
z931252110037,34,40,Female,4,4
c931321111011,32,33,Female,4,4
e931240111051,31,40,Female,5,5
w931383811013,37,38,Male,4,4
w931252511001,69,71,Male,7,7
r931321111012,44,53,Male,5,5
l931252510019,46,44,Male,5,5
w931252111036,34,41,Female,4,4
y203224211066,44,46,Female,5,5
c931252509052,74,77,Male,7,7
d931205815046,65,67,Male,6,6
v931240111014,37,48,Female,5,5
r931101109066,52,53,Male,5,5
z931383811015,61,60,Male,6,6
j931252711006,79,80,Female,8,8
a931383611038,65,70,Female,7,7
q931100609076,49,50,Male,5,5
h931383411009,58,71,Male,6,6
t931252111034,54,55,Male,5,5
m931100510014,54,60,Male,6,6
m931252109066,31,34,Female,4,4
p931100610010,61,59,Male,6,6
d931100610009,65,74,Female,7,7
m931252711008,49,52,Male,5,5
k931101110014,58,49,Female,6,6
z931101110015,61,57,Male,6,6
e931252711013,79,76,Male,7,7
h931252716051,27,31,Male,3,3
f931321611017,41,32,Female,5,5
t931100610012,74,67,Male,6,6
f931101109067,74,75,Male,7,7
j931261211022,65,65,Male,7,7
b931100609075,69,68,Male,7,7
v931100609071,46,50,Female,5,5
f931101110019,52,32,Female,6,6
n211237810008,61,67,Female,7,7
k931252511002,54,54,Male,5,5
q931252109070,34,43,Female,5,5
x931100609053,79,86,Male,8,8
v931253909052,69,79,Male,7,7
y931321111016,65,60,Male,6,6
d931321113004,74,78,Female,8,8
w931100610014,46,54,Female,6,6
x931259310019,46,48,Male,5,5
j931321010029,54,60,Male,6,6
f931100511011,58,60,Female,6,6
v931321611018,39,50,Female,5,5
e931100609077,65,68,Female,7,7
b931100610027,54,56,Male,5,5
r931254310045,17,22,Male,3,3
u931252509035,39,35,Male,4,4
r330213814100,54,38,Female,7,7
n931383611019,61,63,Male,6,6
z931259310003,46,55,Female,6,6
n931325310018,46,44,Female,6,6
g355350409042,58,66,Female,6,6
p931252111032,32,42,Female,4,4
n931100610017,54,59,Female,6,6
m931101109073,44,31,Female,5,5
c931100610020,39,41,Male,4,4
u931259309065,31,36,Male,4,4
t931252517034,46,45,Female,4,4
w931260609100,52,55,Male,5,5
r931383210028,21,25,Male,3,3
