upn,estimate_ap2,actual_ap2,gender_ap2,ict_btec_ap1,ict_btec_ap2
u931235711035,41,51,Female,P2,P2
q931100610001,36,39,Male,P1,P1
t931101110009,41,46,Female,P2,P2
q931252111023,23,29,Male,P1,P1
h931383611006,46,50,Male,P2,P2
t931101110011,37,36,Male,P1,P1
a319204711002,61,57,Male,M2,M2
e931254309074,37,41,Male,P1,P1
c931325212009,24,22,Male,P1,P1
p931252110031,18,31,Male,P1,P1
b931252510042,34,39,Male,P1,P1
u931235211060,49,54,Female,M2,M2
a931383611011,44,50,Male,P2,P2
w931383811013,37,38,Male,P1,P1
k931252511002,54,54,Male,M2,M2
j931321010029,54,60,Male,P2,P2
r931254310045,17,22,Male,P1,P1
u931252509035,39,35,Male,P1,P1
u931259309065,31,36,Male,P1,P1
w931260609100,52,55,Male,M2,M2
c931383611022,41,39,Male,P1,P1
t931252110062,46,50,Male,P2,P2
h878261811006,24,27,Male,P1,P1
l931260610077,52,60,Male,M2,M2
w931100510031,17,18,Male,P1,P1
p931386115052,24,28,Male,P1,P1
g931252110005,26,33,Male,P1,P1
c931321310005,36,40,Male,P1,P1
a931252711018,30,28,Male,P1,P1
c931100509054,31,27,Male,P1,P1
n931253911030,49,59,Female,M2,M2
g931383614018,39,51,Female,P2,P2
k931253909044,34,36,Female,P1,P1
k931101110043,61,64,Male,M2,M2
x931254309077,54,61,Female,M2,M2
u931325310033,46,49,Male,M2,M2
v931240111043,46,48,Female,P2,P2
u931100510047,65,70,Female,D2,D2
r931383511040,27,33,Female,P1,P1
d931252509043,39,36,Male,P1,P1
n931252715063,39,41,Female,P2,P2
l931235210033,65,68,Male,D2,D2
z931252711027,19,29,Male,P1,P1
e931252109069,34,43,Female,P1,P1
