upn,estimate_ap2,actual_ap2,gender_ap2,music_studies__gcse_level_1/2_ap1,music_studies__gcse_level_1/2_ap2
q931252111023,23,29,Male,3,3
h931383811003,61,65,Male,6,6
h931383611006,46,50,Male,5,5
e931254309074,37,41,Male,4,4
p931252110031,18,31,Male,3,3
d931383811010,52,57,Female,6,6
p931258912012,61,68,Male,7,7
a931383611011,44,50,Male,5,5
j931252711006,79,80,Female,8,8
m931252711008,49,52,Male,5,5
x931100609053,79,86,Male,8,8
y931321111016,65,60,Male,6,6
j931321010029,54,60,Male,6,6
b931100610027,54,56,Male,6,6
t931252110062,46,50,Male,5,5
l931260610077,52,60,Male,6,6
r931412022016,58,60,Male,6,6
b931101010014,65,66,Male,7,7
g931252110005,26,33,Male,3,3
c931321310005,36,40,Male,4,4
q931100610030,79,81,Female,8,8
v931240111043,46,48,Female,5,5
u931100510047,65,70,Female,7,7
l931235210033,65,68,Male,7,7
k931252711026,69,71,Male,7,7
z931252711027,19,29,Male,3,3
