upn,estimate_ap2,actual_ap2,gender_ap2,music_tech_grade_ap1,music_tech_grade_ap2
q931100610001,36,39,Male,P2,P2
p931325310038,44,47,Male,M2,M2
w382206709086,20,28,Male,P1,P1
q931252111023,23,29,Male,P1,P1
h931383611006,46,50,Male,P2,P2
v931252710033,61,66,Male,D2,D2
t931101110011,37,36,Male,P2,P2
e931254309074,37,41,Male,P2,P2
v931101010010,52,58,Female,M2,M2
w931252110006,31,34,Male,P2,P2
p931252110031,18,31,Male,P1,P1
w931325310015,54,55,Male,M2,M2
a931383611011,44,50,Male,P2,P2
c931252509052,74,77,Male,D2,D2
z931383811015,61,60,Male,M2,M2
j931321010029,54,60,Male,M2,M2
c931383611022,41,39,Male,P2,P2
t931252110062,46,50,Male,P2,P2
l931260610077,52,60,Male,M2,M2
p931386115052,24,28,Male,P1,P1
g931252110005,26,33,Male,P1,P1
c931321310005,36,40,Male,P2,P2
a931252711018,30,28,Male,P1,P1
x931261211032,32,38,Male,P2,P2
e931258911003,46,50,Male,M2,M2
j931252911003,49,51,Male,M2,M2
v931240111043,46,48,Female,P2,P2
u931100510047,65,70,Female,D2,D2
c931101110046,69,80,Female,D2,D2
l931235210033,65,68,Male,D2,D2
w931318811010,34,33,Male,P2,P2
z931252711027,19,29,Male,P1,P1
