upn,estimate_real,actual_real,gender_ap2,pearson_btec_sport__level_1/level_2_first_award_ap1,pearson_btec_sport__level_1/level_2_first_award_ap2,pearson_btec_sport__level_1/level_2_first_award_real
r928218115049,59,61,Female,M2,M2,M2
y931252508056,42,40,Male,P2,P2,P2
m931321008051,51,25,Male,P2,M2,M2
h931325209012,71,82,Male,D2,D*2,D*2
q931258910001,37,30,Male,P2,P2,P2
x931235209022,51,45,Male,P2,P2,P2
l931252709035,71,72,Female,D2,D*2,D*2
c931252508049,43,34,Female,P2,P2,P2
d931252714054,40,71,Male,D2,D*2,D*2
n931101108063,24,12,Female,P1,P1,P1
n931252909043,56,54,Male,D2,D2,D2
a931383810034,40,49,Male,P2,M2,M2
m931412019009,0,25,Male,P1,P1,P1
g931383411018,35,30,Male,P1,P2,P2
f931252108061,40,40,Female,P2,M2,M2
a931383810005,42,54,Male,P2,M2,M2
d931325308030,56,42,Male,P2,M2,P2
v931252509026,59,54,Female,P2,M2,P2
p931252109019,47,52,Male,M2,D2,D2
d931383810007,33,53,Female,M2,D2,D2
l931101109024,61,33,Male,P2,P2,P2
l931412020030,0,9,Male,P2,P1,P1
u931325209009,43,70,Female,M2,D*2,D*2
z931325309007,42,38,Female,P2,P2,P2
f931321308025,33,15,Female,M2,M2,M2
w310350110023,49,46,Female,P2,M2,M2
b931100609017,68,62,Female,M2,M2,M2
y931252509028,40,25,Male,P2,P2,P2
q931253109015,40,30,Male,P1,P2,P2
p931101109055,43,30,Male,M2,M2,M2
k931252910051,75,66,Male,D2,D*2,D*2
b931252710010,24,24,Female,P2,P2,P2
u931101109019,51,67,Male,D2,D*2,D*2
q931202016013,0,5,Male,P2,P1,P1
x931412020027,0,29,Male,M2,P2,P2
h931101109051,0,34,Male,M2,M2,M2
l931383612038,40,29,Female,M2,P2,P2
q931100609018,40,26,Male,0,P2,0
n931100608064,68,76,Female,D2,D*2,D*2
f931252109004,38,30,Male,P2,M2,M2
y931321110015,59,48,Male,P1,M2,M2
c373236909082,51,48,Male,M2,M2,M2
w931321009038,63,64,Male,P2,M2,M2
d316209709080,18,8,Male,P1,P1,P1
d931252710019,42,33,Male,P2,P2,P2
t931252110004,38,44,Male,P2,M2,M2
z931383214002,38,55,Female,D2,D2,D2
k931325309006,35,52,Female,D2,D*2,D*2
q931321008053,59,60,Male,P2,P2,M2
v931325309014,71,75,Female,D*2,D*2,D*2
x931325208068,49,65,Male,D2,D2,D2
x931252108044,27,14,Female,P1,P1,P1
u931101109021,42,43,Male,P2,M2,M2
p931252108047,37,42,Female,P2,M2,M2
a931252108046,42,42,Male,P2,M2,M2
d931252109049,40,52,Male,M2,M2,M2
v931101109012,38,43,Male,D2,D2,D2
w931101109032,59,44,Male,M2,M2,M2
q931252108040,27,27,Male,P2,M2,M2
b931235209044,38,25,Male,P1,P2,P2
c931253110015,43,46,Male,P2,P2,M2
u931252110024,29,26,Male,P2,P2,P1
d931100609028,51,44,Male,P2,P2,P2
n931325209054,42,52,Male,D2,D*2,D*2
t931100609029,66,85,Female,D*2,D*2,D*2
u931325208066,42,59,Female,M2,D*2,D*2
b931400418001,0,23,Male,P2,P2,P2
