upn,estimate_ap2,actual_ap2,gender_ap2,pearson_btec_sport__level_1/level_2_first_award_ap1,pearson_btec_sport__level_1/level_2_first_award_ap2
z931253110042,39,42,Male,P2,P2
d931201515052,23,26,Female,P1,P1
k931321611012,28,31,Male,P1,P1
l931252112002,36,49,Female,M2,M2
p931101110007,39,36,Male,P2,P2
p931325310038,44,47,Male,M2,M2
w382206709086,20,28,Male,P1,P1
t313201310021,41,55,Female,M2,M2
q931252111023,23,29,Male,P1,P1
j931252110016,15,23,Male,P1,P1
k931321111006,52,49,Male,M2,M2
h931383611006,46,50,Male,P2,P2
m931252711010,65,64,Male,M2,M2
v931259309056,36,37,Female,P2,P2
z931101010003,36,39,Male,P2,P2
t931101110011,37,36,Male,P2,P2
e931254309074,37,41,Male,P2,P2
p931252110031,18,31,Male,P1,P1
w931325310015,54,55,Male,M2,M2
d931325310012,52,56,Female,M2,M2
u931100609049,74,75,Male,D2,D2
a931383611011,44,50,Male,P2,P2
f931252711004,69,67,Male,D2,D2
z931252110037,34,40,Female,P2,P2
e931240111051,31,40,Female,P2,P2
l931252510019,46,44,Male,M2,M2
y203224211066,44,46,Female,M2,M2
p931100610010,61,59,Male,M2,M2
z931101110015,61,57,Male,M2,M2
b931100609075,69,68,Male,D2,D2
w931100610014,46,54,Female,M2,M2
j931321010029,54,60,Male,M2,M2
e931100609077,65,68,Female,D2,D2
r931254310045,17,22,Male,P1,P1
n931100610017,54,59,Female,M2,M2
r931383210028,21,25,Male,P1,P1
y931261210051,27,31,Female,P1,P1
r931252110013,27,26,Male,P1,P1
t931252110062,46,50,Male,P2,P2
c931321009073,49,53,Male,M2,M2
r931325310051,23,26,Female,P1,P1
l931260610077,52,60,Male,M2,M2
l931252111030,27,32,Female,P1,P1
a931252111031,32,29,Male,P2,P2
w931321011051,23,30,Male,P1,P1
g931252110005,26,33,Male,P1,P1
h931258911005,41,34,Male,P2,P2
c931321310005,36,40,Male,P1,P1
z203222811011,61,64,Male,M2,M2
k931100510032,37,43,Male,P2,P2
t931254310007,37,40,Male,P2,P2
c931100509054,31,27,Male,P1,P1
w931201516056,21,30,Female,P1,P1
x931261211032,32,38,Male,P2,P2
e931258911003,46,50,Male,M2,M2
m931383811025,54,54,Male,M2,M2
j931252911003,49,51,Male,M2,M2
d931101110037,37,39,Male,P2,P2
a931252111029,44,50,Female,M2,M2
t931101110038,58,63,Female,M2,M2
m931321010033,20,25,Male,P1,P1
g931252910020,54,69,Male,M2,M2
k931252510030,49,55,Female,M2,M2
v931240111043,46,48,Female,P2,P2
u931100510047,65,70,Female,D2,D2
n931252715063,39,41,Female,M2,M2
l931235210033,65,68,Male,D2,D2
w931318811010,34,33,Male,P1,P1
k931252910022,37,36,Male,P2,P2
z931252711027,19,29,Male,P1,P1
n931252711028,41,50,Female,M2,M2
g931252110034,25,28,Male,P1,P1
m931101110054,69,65,Male,D2,D2
