upn,estimate_ap2,actual_ap2,gender_ap2,science_double_award_gcse_level_1/2_ap1,science_double_award_gcse_level_1/2_ap2
u931235711035,41,51,Female,5,5
n931252711030,37,39,Female,4,4
g931252517035,25,29,Male,3,3
z931253110042,39,42,Male,4,4
c931240111011,39,49,Female,5,5
m931321611023,49,52,Female,5,5
q931100610001,36,39,Male,4,4
d931201515052,23,26,Female,3,3
k931321611012,28,31,Male,3,3
p931101110007,39,36,Male,4,4
p931325310038,44,47,Male,5,5
e931252510015,44,52,Female,5,5
a931252509041,61,68,Female,6,6
w382206709086,20,28,Male,3,3
z931100510004,46,57,Female,5,5
t313201310021,41,55,Female,5,5
t931101110009,41,46,Female,4,4
z931102210003,69,72,Female,7,7
a931383612039,49,55,Female,5,5
j931252110016,15,23,Male,3,3
k931321111006,52,49,Male,5,5
e931252111024,49,57,Female,5,5
n931252110011,49,48,Male,5,5
d825303112031,41,45,Female,4,4
x931100610005,58,62,Female,6,6
v931259309056,36,37,Female,4,4
z931101010003,36,39,Male,4,4
t931101110011,37,36,Male,4,4
h931240111024,58,55,Male,5,5
c931325212009,24,22,Male,3,3
x931383611007,37,45,Female,4,4
w931252110006,31,34,Male,4,4
d931383811010,52,57,Female,5,5
b931252510042,34,39,Male,4,4
f931100510010,41,40,Male,4,4
u931235211060,49,54,Female,5,5
z931252110037,34,40,Female,4,4
c931321111011,32,33,Female,3,3
e931240111051,31,40,Female,4,4
w931383811013,37,38,Male,4,4
l931252510019,46,44,Male,4,4
w931252111036,34,41,Female,4,4
y203224211066,44,46,Female,4,4
j931252711006,79,80,Female,8,8
a931383611038,65,70,Female,7,7
q931100609076,49,50,Male,5,5
t931252111034,54,55,Male,5,5
m931100510014,54,60,Male,6,6
m931252109066,31,34,Female,3,3
p931100610010,61,59,Male,6,6
d931100610009,65,74,Female,7,7
m931252711008,49,52,Male,5,5
k931101110014,58,49,Female,6,6
z931101110015,61,57,Male,5,5
h931252716051,27,31,Male,3,3
j931261211022,65,65,Male,6,6
b931100609075,69,68,Male,6,6
v931100609071,46,50,Female,5,5
k931252511002,54,54,Male,5,5
q931252109070,34,43,Female,4,4
y931321111016,65,60,Male,6,6
w931100610014,46,54,Female,5,5
e931100609077,65,68,Female,6,6
b931100610027,54,56,Male,5,5
r931254310045,17,22,Male,3,3
u931252509035,39,35,Male,4,4
z931259310003,46,55,Female,5,5
n931325310018,46,44,Female,5,5
p931252111032,32,42,Female,4,4
n931100610017,54,59,Female,6,6
m931101109073,44,31,Female,4,4
u931259309065,31,36,Male,4,4
r931383210028,21,25,Male,3,3
y931261210051,27,31,Female,3,3
r931252110013,27,26,Male,3,3
m931101110025,46,49,Male,5,5
y931252111018,41,42,Male,4,4
c931383611022,41,39,Male,4,4
r931325310051,23,26,Female,3,3
h878261811006,24,27,Male,3,3
l931321611032,37,40,Male,4,4
l931260610077,52,60,Male,5,5
z931321012025,58,45,Female,6,6
w931100510031,17,18,Male,2,2
l931252111030,27,32,Female,3,3
e931101110028,65,62,Male,6,6
a931252111031,32,29,Male,4,4
p931386115052,24,28,Male,3,3
w931321011051,23,30,Male,3,3
y931325209062,37,44,Female,4,4
h931258911005,41,34,Male,4,4
z203222811011,61,64,Male,6,6
a931252711018,30,28,Male,3,3
q931101010015,46,55,Female,5,5
h931253110030,39,40,Male,4,4
q931100610030,79,81,Female,8,8
v931100610023,36,42,Female,4,4
t931254310007,37,40,Male,4,4
c931100509054,31,27,Male,3,3
w931201516056,21,30,Female,3,3
x931261211032,32,38,Male,4,4
n931253911030,49,59,Female,6,6
g931252113008,36,42,Female,4,4
e931258911003,46,50,Male,5,5
m931383811025,54,54,Male,5,5
j931252911003,49,51,Male,5,5
d931101110037,37,39,Male,4,4
h931100610033,44,44,Female,4,4
t931101110038,58,63,Female,6,6
g931383614018,39,51,Female,5,5
l302202811022,41,45,Female,4,4
a931321611004,54,61,Female,5,5
f931412020044,34,34,Female,3,3
k931253909044,34,36,Female,4,4
m931321010033,20,25,Male,3,3
g931101110041,46,49,Male,5,5
x931252515054,54,57,Female,5,5
x931254309077,54,61,Female,6,6
k931252510030,49,55,Female,5,5
b931325210016,39,46,Female,4,4
u931325310033,46,49,Male,5,5
u931100510047,65,70,Female,7,7
r931383511040,27,33,Female,3,3
h931259410003,25,28,Female,3,3
d931252509043,39,36,Male,4,4
v931100609069,34,33,Female,4,4
q931261210054,32,34,Female,3,3
n931252715063,39,41,Female,4,4
p931100610037,69,75,Female,7,7
z931252510058,26,29,Female,3,3
g931100610042,54,61,Female,6,6
k931252711026,69,71,Male,7,7
w931318811010,34,33,Male,3,3
k931252910022,37,36,Male,4,4
a931100510053,49,54,Female,5,5
g931252914082,0,20,Female,2,2
x931252111027,30,30,Male,3,3
u208257811003,27,31,Male,3,3
n931252711028,41,50,Female,5,5
g931252110034,25,28,Male,3,3
e931252109069,34,43,Female,4,4
m931101110054,69,65,Male,6,6
