subject,MSE,RMSE,R2,Cross-validation,Mean cross validation,Mean Absolute Error,Mean cross-validation
art_&_design,0.643,0.802,0.630,[0.84075762 0.85103468 0.87172436 0.87266318 0.93258495],,0.643,0.874
biology,0.684,0.827,0.799,[0.48389461 0.72927216 0.74193757 0.75570122 0.76934906],,0.684,0.696
business_studies,2.000,1.414,-1.182,[0.12625316 0.19571274 0.26020609 0.62347384 0.87468953],,1.333,0.416
chemistry,0.737,0.858,0.837,[0.56960952 0.72041349 0.77660914 0.80856637 0.85265453],,0.526,0.746
computer_science,2.000,1.414,0.554,[0.08162169 0.56117995 0.61445856 0.68609886 0.80497408],,1.000,0.550
drama,1.667,1.291,0.375,[0.61720959 0.66928803 0.68956859 0.79215019 0.80822104],,0.833,0.715
english_language,1.755,1.325,0.615,[0.58692482 0.6509008  0.66612367 0.71179695 0.75542965],,1.038,0.674
english_literature,1.442,1.201,0.619,[0.61697259 0.61877476 0.65093337 0.74490426 0.80782416],,0.904,0.688
food_technology,0.909,0.953,0.694,[0.12841983 0.51679809 0.52974392 0.5540224  0.60772405],,0.727,0.467
french_language,1.400,1.183,0.633,[0.66245323 0.75423591 0.85787459 0.92474912 0.97317648],,0.600,0.834
geography,1.429,1.195,0.714,[0.61997639 0.7598416  0.77482132 0.7904462  0.80214086],,0.857,0.749
german,0.600,0.775,0.840,[-5.80650845  0.52362392  0.81184699  0.9223742   0.94861057],,0.600,-0.520
history,1.769,1.330,0.668,[0.61493591 0.61975902 0.66144231 0.78450412 0.79227717],,1.000,0.695
ict_btec,6.333,2.517,-4.182,[-3.329404   -0.76043135  0.18007988  0.28142756  0.4346764 ],,2.000,-0.639
maths,0.673,0.820,0.887,[0.83446424 0.84301987 0.89325378 0.90555031 0.90785476],,0.558,0.877
music_studies,3.750,1.936,0.277,[-11.34074763  -3.40616579  -0.21757749   0.54418304   0.7757582 ],,1.750,-2.729
music_tech_grade,4.000,2.000,0.457,[0.11336432 0.43496098 0.4855014  0.67210093 0.79277592],,1.200,0.500
pearson_btec_sport,1.385,1.177,0.656,[0.77180779 0.77970368 0.83536256 0.91760041 0.92222553],,0.769,0.845
physics,1.632,1.277,0.585,[0.61146423 0.62130042 0.64958817 0.74290865 0.74393222],,0.789,0.674
science_double,0.879,0.937,0.761,[0.55260328 0.78614281 0.81027712 0.84544325 0.86776012],,0.576,0.772
spanish,1.562,1.250,0.812,[0.76972758 0.78997889 0.84053124 0.85451962 0.86414334],,0.938,0.824
